chord_and_mode	medtner_tales	beethoven_piano_sonatas	ABC	mendelssohn_quartets	grieg_lyric_pieces	bach_en_fr_suites	liszt_pelerinage	scarlatti_sonatas	chopin_mazurkas	bartok_bagatelles	kleine_geistliche_konzerte	corelli	bach_solo	mozart_piano_sonatas	frescobaldi_fiori_musicali	wagner_overtures	kozeluh_sonatas	rachmaninoff_piano	peri_euridice	schubert_winterreise	jc_bach_sonatas	wf_bach_sonatas	debussy_suite_bergamasque	tchaikovsky_seasons	ravel_piano	couperin_concerts	monteverdi_madrigals	c_schumann_lieder	schulhoff_suite_dansante_en_jazz	mahler_kindertotenlieder	couperin_clavecin	dvorak_silhouettes	schumann_liederkreis	pleyel_quartets	pergolesi_stabat_mater	schumann_kinderszenen	sweelinck_keyboard	poulenc_mouvements_perpetuels	handel_keyboard	sum
V7/V, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	35
IV, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	False	True	True	35
iii, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	False	True	True	True	True	False	True	False	True	True	34
III, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	True	True	False	False	34
ii%65, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	False	34
V65, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	False	False	True	34
V6, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	False	False	34
IV6, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	False	False	True	34
ii6, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	False	False	True	34
ii65, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	33
v6, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False	True	False	True	True	True	True	False	33
V2, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	False	True	True	True	True	True	True	True	False	False	True	33
I64, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	False	False	33
V(64), major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	False	True	True	33
V6, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	False	False	True	33
V65, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	False	33
iio6, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	False	33
viio6, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	False	False	True	33
vi6, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	False	True	True	True	True	True	False	False	True	33
V43, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	False	True	33
V/V, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	False	True	True	False	False	True	32
iv6, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	False	True	False	False	32
V(4), major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	False	False	True	32
V(64), minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	True	True	True	False	False	32
i64, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	False	False	32
V7/iv, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	False	False	True	True	False	True	True	True	False	True	True	False	31
V7/vi, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	False	True	True	True	True	False	True	True	False	True	False	False	False	31
#viio6, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	False	True	False	False	31
VI6, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	False	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	False	True	False	False	31
ii2, major	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	False	True	False	31
V(4), minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	False	True	True	True	False	True	False	False	31
V7/IV, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	False	True	False	False	False	31
v, minor	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	False	True	False	True	False	True	True	False	31
V43, minor	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	False	31
I, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	True	False	False	True	True	True	True	False	True	False	True	False	False	31
V64, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	False	True	False	True	False	True	False	False	False	31
V(6), major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	True	False	True	True	False	True	False	True	True	True	True	True	False	True	False	30
iv7, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	False	True	True	True	True	False	False	False	30
V7/ii, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	False	True	True	True	False	True	False	True	True	False	True	True	False	False	False	30
I(4), major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	False	False	True	False	True	True	True	False	False	False	False	30
viio, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	True	True	False	False	False	True	True	False	True	True	True	False	False	True	29
V2, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	False	True	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	False	False	False	False	29
III6, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	False	False	True	False	True	True	True	False	True	False	False	29
VII, minor	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	False	False	True	False	True	True	True	True	False	True	False	False	29
i, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	False	False	False	True	True	True	False	True	False	True	True	True	True	False	False	True	False	29
V/III, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	False	False	True	True	False	False	True	True	True	False	False	29
V7/III, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	True	True	False	False	True	True	True	False	True	True	False	False	False	29
iio, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	False	True	True	True	True	True	False	True	True	False	False	False	True	True	True	True	True	False	False	False	False	28
V7(4), major	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	False	False	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	False	False	False	28
IV, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	True	False	False	True	True	False	True	False	False	False	True	False	False	28
IV64, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	False	True	False	False	False	True	False	False	False	True	False	False	True	28
#viio43, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	True	True	True	True	True	False	True	False	True	False	False	True	True	True	True	False	True	False	False	False	28
V65/V, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	False	True	False	False	True	True	True	True	True	False	False	False	False	28
iii6, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	False	True	True	True	True	False	True	True	True	False	True	True	True	False	True	False	False	False	False	True	28
vii%7/V, major	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	False	True	True	True	False	True	True	False	False	True	False	False	True	True	True	True	True	True	False	False	False	28
vii%7, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	False	False	28
ii%43, minor	True	True	True	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	False	True	False	True	True	True	False	True	False	True	False	True	True	True	True	True	False	False	True	True	False	28
ii%7, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	False	True	True	True	True	True	False	True	False	True	True	True	False	True	False	False	False	False	False	27
ii64, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	True	True	False	False	False	True	False	False	True	True	False	False	False	27
V/ii, major	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	True	True	False	False	False	True	True	True	True	False	True	False	False	False	27
viio6/V, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	True	True	False	False	True	False	False	True	False	False	False	False	True	27
V7/V, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	False	False	True	True	False	True	False	False	True	True	True	True	False	True	True	True	False	False	False	27
vi7, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	False	True	True	False	True	True	True	False	True	True	False	True	False	False	False	False	False	True	27
V/iv, minor	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	True	False	False	True	True	False	False	True	True	False	False	False	False	27
V2/IV, major	True	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	True	False	True	True	True	True	False	True	True	True	False	True	False	False	True	True	True	True	False	True	False	False	False	27
IV6, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	True	False	True	True	False	True	True	False	False	True	True	True	False	False	True	False	True	False	False	27
v, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	False	True	True	True	True	False	False	True	False	True	False	False	True	False	False	False	27
I(9), major	True	True	True	True	True	True	True	True	True	True	False	True	False	True	False	True	True	False	True	True	True	True	False	True	False	True	False	True	False	False	True	True	True	True	True	True	False	False	False	27
i(4), minor	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	False	True	False	True	True	False	False	True	True	False	False	True	True	False	False	False	False	26
V65/III, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	False	True	True	True	True	True	False	True	True	False	True	True	True	False	False	False	True	False	False	False	False	26
ii, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	False	False	True	True	False	False	False	True	False	False	False	True	False	True	False	False	26
V/vi, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	True	True	True	False	False	False	True	False	True	False	True	False	False	False	26
#viio7, minor	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	True	False	True	True	True	False	True	False	True	False	True	False	False	True	True	True	True	False	True	False	False	False	26
V65/IV, major	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	True	True	False	True	True	True	True	False	True	False	False	False	26
iv64, minor	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	True	False	True	True	True	True	True	False	True	True	False	False	True	False	True	False	True	False	True	False	False	False	26
#viio, minor	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	False	True	True	False	True	True	False	False	False	True	True	False	True	False	False	True	False	False	26
V/V, minor	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False	False	False	True	True	True	False	False	True	False	True	False	False	26
iv6, major	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	False	False	False	False	False	True	True	False	False	False	True	True	True	True	True	False	False	False	26
V64, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	True	False	False	False	False	True	True	False	True	False	False	True	False	False	26
IVM7, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	False	True	True	True	False	False	False	True	False	False	False	False	True	False	False	False	25
IV(9), major	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	False	True	True	True	True	False	False	False	True	False	False	False	False	False	False	True	25
V43/V, major	False	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	False	True	True	True	False	True	False	True	False	True	False	False	True	True	True	False	False	True	False	False	False	25
VIM7, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	True	False	False	True	True	False	False	False	True	True	False	False	False	True	False	False	False	25
V2/V, major	False	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	False	False	True	True	True	False	True	False	True	False	True	False	True	True	True	True	False	True	False	False	False	True	25
vii%65, major	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False	True	25
V(6), minor	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True	True	True	False	False	False	True	False	False	True	False	False	False	True	True	True	True	True	True	False	False	False	25
VII6, minor	False	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	False	False	True	True	False	False	True	True	False	False	True	True	False	True	True	True	False	True	False	False	25
V6/V, major	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	True	True	False	False	True	False	False	True	False	False	False	False	False	25
i(9), minor	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	False	False	True	True	True	True	False	False	True	False	False	False	False	True	False	False	True	False	25
i6, major	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	True	True	False	True	False	True	True	True	False	False	True	True	False	True	False	False	False	False	False	25
#viio64, minor	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	False	True	False	False	True	True	True	True	True	False	True	True	False	False	False	True	True	False	False	False	False	True	False	False	24
V2/iv, minor	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	False	True	True	False	True	True	True	False	True	False	True	False	False	False	False	True	True	False	True	True	False	False	False	False	24
ii43, major	True	True	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	False	True	True	False	True	True	True	True	True	True	True	False	False	False	False	False	True	False	False	False	False	24
V65/vi, major	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	True	True	True	True	True	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	24
V6/III, minor	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	False	True	False	True	True	True	True	True	False	False	True	False	False	False	False	True	False	False	False	True	True	True	False	False	24
V(64)/V, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	True	24
viio7/V, minor	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	True	False	False	True	True	True	False	True	False	True	False	True	False	False	False	True	True	True	True	False	False	False	False	24
iv, major	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	False	True	True	True	True	False	True	False	False	True	True	False	True	False	True	False	False	False	True	False	False	False	24
V43/IV, major	True	True	True	True	True	True	True	False	True	False	True	False	True	True	True	True	True	False	False	True	True	True	True	True	False	False	False	False	False	True	False	False	True	True	False	True	False	False	False	23
iv6(2), minor	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	False	True	True	True	False	True	False	False	False	False	True	True	False	False	False	True	False	False	True	True	False	True	False	False	23
V65/iv, minor	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	False	True	False	False	True	True	True	True	True	False	True	False	False	False	False	True	False	False	True	True	False	False	False	False	23
ii%2, minor	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	False	False	True	True	False	True	True	False	True	False	False	False	True	False	True	False	True	True	False	False	False	False	23
V6/iv, minor	True	True	True	True	False	True	False	True	False	False	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	True	True	True	False	True	True	False	False	True	False	False	False	False	False	23
#viio65, minor	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	True	True	False	False	False	False	True	False	True	False	False	True	True	True	True	False	True	False	False	False	23
i2, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	False	True	False	True	True	False	True	True	True	False	False	False	True	False	True	False	False	False	False	True	False	23
viio/V, major	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	False	False	False	False	False	False	False	True	True	True	False	False	False	False	23
vii%43, major	True	True	True	True	True	True	True	False	True	False	True	False	True	True	False	True	True	True	False	True	True	True	False	True	False	False	True	True	False	False	False	True	True	False	False	False	False	False	True	23
V7(9), major	True	True	True	True	True	True	True	True	True	False	False	False	False	True	False	True	True	False	False	True	False	False	False	True	True	False	False	True	True	True	True	True	True	False	True	True	False	False	False	23
#viio7/iv, minor	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	True	True	True	False	True	True	True	True	False	False	False	False	True	False	True	False	False	True	True	False	False	False	False	False	23
viio7/V, major	True	True	True	True	True	True	True	False	True	False	False	True	True	True	False	True	True	False	False	True	True	True	False	True	False	False	False	True	False	True	False	False	True	True	True	True	False	False	False	23
#viio7/vi, major	True	True	True	True	True	True	True	False	True	False	False	True	True	True	False	True	True	False	False	True	False	True	True	True	False	True	False	True	False	True	False	True	False	True	False	True	False	False	False	23
V7/VI, minor	True	True	True	True	True	True	False	True	True	False	True	True	True	True	False	True	True	True	False	True	True	False	False	False	True	True	False	False	True	True	False	False	False	True	False	False	False	False	False	22
V7(9), minor	True	True	True	True	True	True	True	True	True	True	False	False	False	False	False	True	True	False	False	True	False	True	False	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	22
bII6, minor	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	True	True	True	True	False	False	True	False	True	False	True	False	False	False	True	False	False	False	False	False	22
bVI, major	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True	False	True	False	True	True	True	True	False	True	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	22
V43(4), major	True	True	True	True	True	True	False	False	True	False	False	True	False	True	False	True	True	False	False	True	True	True	True	True	False	False	True	True	False	False	False	True	False	True	True	True	False	False	False	22
V65/ii, major	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	True	False	False	False	True	False	True	False	False	False	False	True	True	False	True	False	False	False	22
ii6, minor	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	False	True	False	True	False	False	True	False	False	False	True	True	False	False	False	True	False	False	True	True	False	True	False	False	22
vi65, major	True	True	True	True	True	True	False	False	True	True	False	True	True	True	True	True	True	True	False	False	True	False	True	True	False	True	True	True	False	False	False	False	True	False	False	False	False	False	False	22
V7/VII, minor	True	True	True	True	True	True	False	False	True	False	True	False	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	22
vi64, major	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	True	False	False	False	22
V43/iv, minor	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	True	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	22
V7(4), minor	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	False	True	True	True	False	False	True	True	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	21
ii65, minor	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	False	True	True	False	False	False	False	True	False	False	True	True	False	False	True	False	False	False	True	True	False	False	False	False	21
ii6(2), major	False	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	False	False	False	True	False	True	True	False	True	True	False	False	False	False	False	False	False	True	True	False	False	False	21
I6, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	21
V/VII, minor	True	True	False	True	True	True	False	True	True	False	True	False	True	False	True	False	True	True	True	True	False	False	True	False	False	True	True	False	False	True	True	False	False	True	False	False	True	False	False	21
V65/VII, minor	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True	True	True	True	False	True	False	True	False	False	False	True	True	False	False	False	True	False	False	False	True	False	False	False	False	21
iv(4), minor	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	True	False	False	True	False	True	True	False	False	False	False	False	True	False	True	False	False	False	False	21
v6, major	False	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	21
iio64, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False	True	False	False	False	21
#viio43/ii, major	True	True	True	True	True	True	True	True	True	False	False	False	True	True	False	True	True	False	False	True	True	True	False	True	False	False	False	True	False	False	False	True	True	True	False	False	False	False	False	21
V/IV, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	False	True	True	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	21
viio6/V, minor	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True	True	True	False	True	False	True	True	False	True	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	21
ii(9), major	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	False	False	False	True	False	True	False	False	True	False	20
viio6(2), major	False	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	20
V7(6), major	True	True	True	True	True	False	True	False	True	False	False	False	False	True	False	True	True	True	False	True	False	False	False	True	True	False	False	True	True	False	False	True	True	False	False	True	False	True	False	20
IV(4), major	False	True	True	True	True	True	True	True	False	False	False	True	True	True	False	True	True	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	True	True	False	True	False	False	False	20
