chord_and_mode	medtner_tales	beethoven_piano_sonatas	ABC	mendelssohn_quartets	grieg_lyric_pieces	bach_en_fr_suites	liszt_pelerinage	scarlatti_sonatas	chopin_mazurkas	bartok_bagatelles	kleine_geistliche_konzerte	corelli	bach_solo	mozart_piano_sonatas	frescobaldi_fiori_musicali	wagner_overtures	kozeluh_sonatas	rachmaninoff_piano	peri_euridice	schubert_winterreise	jc_bach_sonatas	wf_bach_sonatas	debussy_suite_bergamasque	tchaikovsky_seasons	ravel_piano	couperin_concerts	monteverdi_madrigals	c_schumann_lieder	schulhoff_suite_dansante_en_jazz	mahler_kindertotenlieder	couperin_clavecin	dvorak_silhouettes	schumann_liederkreis	pleyel_quartets	pergolesi_stabat_mater	schumann_kinderszenen	sweelinck_keyboard	poulenc_mouvements_perpetuels	handel_keyboard	sum
I, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	38
V7, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	38
i, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	37
V, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	37
ii, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	36
VI, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	False	36
vi, major	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	36
iv, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	False	36
V, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	False	False	36
I6, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	36
ii7, major	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	35
i6, minor	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	True	False	False	35
V7, minor	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	35
