mode	n_gram	count
major	('5, (M3, P5, m7)', '1, (M3, P5)')	4992
major	('5, (M3, P5)', '1, (M3, P5)')	4121
major	('1, (M3, P5)', '3, (m3, m6)')	2009
major	('1, (M3, P5)', '5, (M3, P5)')	1982
major	('1, (M3, P5)', '4, (M3, P5)')	1781
major	('7, (m3, d5, m6)', '1, (M3, P5)')	1726
major	('1, (M3, P5)', '5, (M3, P5, m7)')	1600
major	('5, (P4, M6)', '5, (M3, P5, m7)')	1566
major	('4, (M2, a4, M6)', '3, (m3, m6)')	1493
major	('3, (m3, m6)', '4, (M3, P5)')	1377
major	('3, (m3, m6)', '1, (M3, P5)')	1336
major	('1, (M3, P5)', '1, (M3, P5)')	1303
major	('5, (P4, M6)', '5, (M3, P5)')	1201
major	('1, (M3, P5)', '7, (m3, m6)')	1036
major	('7, (m3, m6)', '1, (M3, P5)')	1017
major	('5, (M3, P5)', '5, (M3, P5, m7)')	1004
major	('2, (m3, P4, M6)', '1, (M3, P5)')	973
major	('5, (P4, P5)', '5, (M3, P5)')	933
major	('5, (M3, P5)', '3, (m3, m6)')	925
major	('1, (M3, P5)', '2, (m3, P4, M6)')	871
major	('4, (M3, M6)', '5, (P4, M6)')	825
major	('1, (M3, P5)', '6, (m3, P5)')	789
major	('4, (M3, P5)', '3, (m3, m6)')	787
major	('4, (M3, P5)', '1, (M3, P5)')	749
major	('1, (P4, P5)', '1, (M3, P5)')	730
major	('2, (m3, M6)', '1, (M3, P5)')	693
major	('1, (M3, P5)', '4, (M3, M6)')	679
major	('1, (M3, P5)', '5, (P4, M6)')	654
major	('1, (M3, P5)', '7, (m3, d5, m6)')	620
major	('5, (M3, P5, m7)', '5, (P4, M6)')	620
major	('3, (m3, m6)', '4, (M3, M6)')	617
major	('7, (m3, d5)', '1, (M3, P5)')	566
major	('1, (M3, P5)', '6, (m3, m6)')	552
major	('4, (M3, P5)', '5, (P4, M6)')	520
major	('3, (m3, m6)', '2, (m3, P4, M6)')	506
major	('2, (m3, M6)', '3, (m3, m6)')	493
major	('2, (m3, P4, M6)', '3, (m3, m6)')	490
major	('1, (M3, P5)', '2, (m3, P5)')	472
