mode	n_gram	count
major	('1, (M3, P5)', '2, (m3, M6)')	470
major	('3, (m3, m6)', '2, (m3, M6)')	459
major	('4, (M3, P5)', '5, (M3, P5)')	439
major	('2, (M3, P5, m7)', '5, (M3, P5)')	436
major	('3, (m3, m6)', '5, (M3, P5)')	431
major	('4, (M3, P5)', '2, (m3, P5)')	427
major	('1, (M3, P5)', '4, (M2, a4, M6)')	424
major	('5, (M3, P5, m7)', '5, (M3, P5, m7)')	422
major	('4, (M3, M6)', '5, (M3, P5)')	421
major	('5, (M3, P5)', '4, (M2, a4, M6)')	419
major	('4, (M3, P5)', '4, (M3, M6)')	399
major	('4, (M3, M6)', '5, (M3, P5, m7)')	384
major	('5, (M3, P5, m7)', '3, (m3, m6)')	380
major	('5, (P4, P5, m7)', '5, (M3, P5, m7)')	375
major	('3, (m3, m6)', '4, (M3, P5, M6)')	373
major	('1, (M3, P5, m7)', '4, (M3, P5)')	364
major	('6, (m3, P5)', '4, (M3, P5)')	352
major	('2, (m3, P5)', '5, (M3, P5, m7)')	330
major	('7, (m3, m6)', '5, (M3, P5)')	329
major	('6, (m3, m6)', '5, (P4, M6)')	328
major	('1, (M3, P5)', '1, (M3, P5, m7)')	328
major	('4, (M2, a4, M6)', '1, (M3, P5)')	327
major	('3, (m3, m6)', '4, (M2, a4, M6)')	326
major	('5, (P4, M6)', '1, (M3, P5)')	326
major	('5, (M3, P5)', '5, (P4, M6)')	317
major	('2, (M3, P5)', '5, (M3, P5)')	316
major	('4, (M3, P5, M6)', '5, (M3, P5)')	310
major	('5, (M3, P5, m7)', '1, (P4, P5)')	307
major	('2, (m3, P5)', '5, (M3, P5)')	305
major	('5, (M3, P5)', '5, (M3, P5)')	304
major	('4, (M3, P5)', '5, (M3, P5, m7)')	295
major	('3, (m3, m6)', '5, (M3, P5, m7)')	294
major	('1, (P4, M6)', '1, (M3, P5)')	294
major	('4, (M3, P5)', '6, (m3, m6)')	294
major	('5, (M3, P5)', '6, (m3, P5)')	290
major	('1, (M3, P5)', '1, (M3, M6)')	290
major	('#4, (m3, d5, m6)', '5, (M3, P5)')	289
major	('4, (M3, M6)', '3, (m3, m6)')	287
major	('1, (M3, P5)', '1, (P4, M6)')	279
major	('6, (m3, P5)', '4, (M3, M6)')	274
major	('3, (m3, d5, m6)', '4, (M3, P5)')	272
major	('b7, (M2, a4, M6)', '6, (m3, m6)')	272
major	('5, (M3, P5)', '7, (m3, m6)')	269
major	('5, (M3, P5, m7)', '5, (M3, P5)')	267
major	('5, (M3, P5, m7)', '6, (m3, P5)')	266
major	('7, (m3, d5, m6)', '5, (M3, P5, m7)')	262
major	('3, (m3, m6)', '5, (P4, M6)')	254
major	('1, (M3, P5)', '7, (m3, d5)')	243
major	('6, (m3, M6)', '5, (M3, P5)')	238
major	('2, (m3, P5)', '1, (M3, P5)')	236
major	('2, (m3, P5, m7)', '5, (M3, P5, m7)')	236
major	('1, (M3, P5)', '5, (P4, P5)')	231
major	('6, (m3, P5)', '5, (M3, P5)')	228
major	('3, (m3, m6)', '2, (m3, P5)')	221
major	('5, (M3, P5)', '4, (M3, P5)')	220
major	('6, (m3, P5)', '3, (m3, m6)')	213
major	('6, (m3, m6)', '4, (M3, P5)')	203
major	('1, (M3, P5)', 'b7, (M2, a4, M6)')	202
major	('3, (m3, m6)', '6, (m3, P5)')	199
major	('6, (M3, P5, m7)', '2, (m3, P5)')	196
major	('6, (M3, P5)', '2, (m3, P5)')	194
major	('7, (m3, m6)', '6, (m3, m6)')	193
major	('#1, (m3, d5, m6)', '2, (m3, P5)')	193
major	('6, (m3, m6)', '5, (M3, M6)')	189
major	('5, (M3, M6)', '4, (M3, M6)')	185
major	('2, (m3, P5)', '7, (m3, d5, m6)')	184
major	('4, (a4, M6)', '3, (m3, m6)')	180
major	('3, (m3, m6)', '7, (m3, d5, m6)')	179
major	('#4, (m3, d5)', '5, (M3, P5)')	176
major	('5, (M3, M6, m7)', '5, (M3, P5, m7)')	176
major	('3, (m3, m6)', '2, (m3, P5, m7)')	175
major	('5, (P4, M6)', '3, (m3, m6)')	175
major	('3, (m3, m6)', '7, (m3, m6)')	174
major	('#5, (m3, d5, d7)', '6, (m3, P5)')	174
major	('4, (M3, M7)', '4, (M3, M6)')	173
major	('2, (m3, P4, M6)', '7, (m3, d5, m6)')	172
major	('6, (m3, m6)', '7, (m3, d5, m6)')	171
major	('4, (M3, M6)', '2, (m3, P5)')	169
major	('5, (M3, P5)', '7, (m3, d5, m6)')	168
major	('2, (m3, P5)', '4, (M3, M6)')	167
major	('4, (M3, P5)', '4, (M3, P5)')	167
major	('1, (M3, P5)', '4, (M3, P5, M6)')	167
major	('3, (m3, m6)', '2, (P4, M6)')	166
major	('5, (M3, P5, m7)', '7, (m3, d5, m6)')	163
major	('2, (P4, M6)', '1, (M3, P5)')	159
major	('6, (m3, m6)', '1, (M3, P5)')	157
major	('2, (m3, P4, M6)', '5, (M3, P5, m7)')	157
major	('6, (m3, P4, M6)', '5, (M3, P5)')	154
major	('6, (m3, m6)', '7, (m3, d5)')	153
major	('2, (m3, P5)', '7, (m3, d5)')	153
major	('6, (m3, P5)', '4, (M3, P5, M6)')	152
major	('2, (m3, P5)', '3, (m3, m6)')	151
major	('7, (m3, m6)', '5, (M3, P5, m7)')	150
major	('4, (M3, P5)', '2, (m3, M6)')	146
major	('5, (M3, P5)', '2, (m3, P5)')	144
major	('5, (M3, P5)', '1, (m3, P5)')	142
major	('7, (m3, d5, m7)', '1, (M3, P5)')	142
major	('4, (M3, P5, M6)', '5, (P4, M6)')	142
major	('3, (M3, P5, m7)', '6, (m3, P5)')	141
major	('#5, (m3, d5, m6)', '6, (m3, P5)')	140
major	('#4, (m3, m6)', '5, (M3, P5)')	137
major	('6, (m3, P5)', '6, (m3, m6)')	136
major	('6, (m3, P5)', '2, (m3, P5)')	135
major	('5, (P4, M6)', '5, (P4, P5)')	133
major	('3, (m3, m6)', '6, (m3, m6)')	133
major	('5, (M3, P5, m7)', '4, (M2, a4, M6)')	132
major	('3, (M3, P5)', '6, (m3, P5)')	132
major	('7, (m3, m6)', '6, (m3, P5)')	130
major	('7, (m3, m6)', '7, (m3, d5, m6)')	129
major	('5, (P4, M6)', '4, (M3, P5)')	127
major	('2, (m3, P5, m7)', '5, (M3, P5)')	125
major	('6, (m3, m6)', '7, (m3, m6)')	124
major	('#4, (m3, d5, d7)', '5, (M3, P5)')	124
major	('5, (P4, M6)', '6, (m3, m6)')	123
major	('5, (M3, P5)', '6, (m3, m6)')	121
major	('1, (M3, M6)', '7, (m3, m6)')	121
major	('6, (m3, m6)', '5, (M3, P5, m7)')	121
major	('2, (m3, P5)', '6, (M3, P5)')	121
major	('#1, (m3, m6)', '2, (m3, P5)')	120
major	('2, (M3, P5, m7)', '5, (M3, P5, m7)')	119
major	('#4, (m3, d5, d7)', '5, (P4, M6)')	117
major	('2, (m3, P5)', '2, (m3, M6)')	115
major	('#4, (m3, d5, m6)', '5, (P4, M6)')	114
major	('3, (M3, m6)', '4, (M3, P5)')	114
major	('5, (P4, m6)', '5, (M3, P5)')	114
major	('7, (m3, m6)', '6, (m3, P5, m7)')	114
major	('2, (m3, P5)', '7, (m3, m6)')	114
major	('5, (M3, P5)', '5, (M3, M6)')	113
major	('5, (m3, a4, M6)', '4, (M3, M6)')	111
major	('5, (P4, M6)', '4, (M2, a4, M6)')	111
major	('1, (M3, M6)', '1, (M3, P5)')	110
major	('1, (m3, P5)', '5, (M3, P5)')	110
major	('1, (M3, P5)', '2, (P4, M6)')	110
major	('5, (M3, P5)', '2, (M3, P5, m7)')	109
major	('2, (m3, P4, M6)', '7, (m3, m6)')	109
major	('2, (m3, P4, M6)', '4, (M2, a4, M6)')	109
major	('3, (m3, m7)', '3, (m3, m6)')	106
major	('3, (m3, m6)', '3, (m3, m6)')	106
major	('7, (m3, d5, d7)', '1, (M3, P5)')	106
major	('5, (M3, P5, m7)', '1, (m3, P5)')	104
major	('1, (M3, P5)', '4, (M3, P5, M7)')	104
major	('6, (m3, m6)', '5, (M3, P5)')	103
major	('1, (M3, P5)', '2, (m3, P5, m7)')	102
major	('6, (m3, P5)', '6, (m3, P5)')	102
major	('2, (m3, m7)', '2, (m3, M6)')	101
major	('6, (m3, m6)', '3, (m3, m6)')	101
major	('5, (M3, P5)', '6, (m3, P5, m7)')	101
major	('#5, (m3, m6)', '6, (m3, P5)')	99
major	('4, (M3, M6)', '4, (M2, a4, M6)')	97
major	('2, (P4, P5)', '2, (m3, P5)')	97
major	('2, (m3, P5)', '2, (m3, P5)')	96
major	('4, (M3, M6)', '1, (M3, P5)')	94
major	('1, (M3, P5)', '6, (m3, M6)')	94
major	('6, (m3, P5)', '1, (M3, M6)')	93
major	('4, (M3, P5, M6)', '5, (P4, P5)')	93
major	('5, (M3, P5)', '3, (m3, P5)')	92
major	('1, (M2, a4, M6)', '7, (m3, m6)')	91
major	('6, (m3, P5)', '5, (P4, M6)')	91
major	('7, (m3, d5, m6)', '2, (m3, P4, M6)')	90
major	('3, (m3, P5)', '1, (M3, P5)')	90
major	('4, (M3, M6)', '2, (m3, M6)')	90
major	('5, (M3, M6)', '5, (M3, P5, m7)')	89
major	('4, (a4, P5)', '4, (M3, P5)')	88
major	('2, (m3, P5)', '6, (m3, P5)')	88
major	('2, (m3, P5)', '5, (P4, M6)')	88
major	('1, (M3, P5)', '6, (m3, P5, m7)')	88
major	('5, (M3, P5)', '2, (m3, P4, M6)')	88
major	('6, (m3, m6)', '4, (M3, M6)')	87
major	('3, (m3, d5)', '4, (M3, P5)')	86
major	('2, (m3, M6)', '1, (M3, M6)')	86
major	('4, (M3, a4, M6)', '3, (m3, m6)')	86
major	('5, (M3, P5, m7)', '5, (P4, m6)')	86
major	('4, (M2, a4, M6)', '2, (m3, P4, M6)')	85
major	('#1, (m3, d5)', '2, (m3, P5)')	85
major	('5, (m3, P4, M6)', '4, (M3, P5)')	84
major	('4, (M3, P5)', '#4, (m3, d5, m6)')	84
major	('7, (m3, d5, m6)', '5, (M3, P5)')	84
major	('7, (m3, m6)', '3, (m3, m6)')	84
major	('4, (M3, P5)', '2, (m3, P4, M6)')	84
major	('#4, (m3, d5, m7)', '5, (P4, M6)')	83
major	('5, (M3, P5)', '6, (m3, M6)')	83
major	('5, (M2, a4, M6)', '4, (M3, M6)')	82
major	('3, (m3, P5)', '4, (M3, P5)')	82
major	('7, (m3, d5, m6)', '1, (P4, P5)')	82
major	('2, (P4, M6)', '3, (m3, m6)')	82
major	('4, (M3, M6)', '#4, (m3, d5, m6)')	82
major	('7, (m3, m6)', '2, (m3, P4, M6)')	81
major	('7, (m3, d5)', '5, (M3, P5, m7)')	81
major	('4, (M3, P5, M6)', '5, (M3, P5, m7)')	81
major	('5, (P4, P5)', '5, (M3, P5, m7)')	81
major	('2, (P4, P5)', '2, (M3, P5)')	80
major	('3, (m3, d5, M6)', '4, (M3, M6)')	79
major	('4, (M3, P5)', '4, (M2, a4, M6)')	79
major	('4, (M3, P5)', 'b7, (M3, P5)')	78
major	('4, (a4, M6)', '1, (M3, P5)')	78
major	('4, (M3, P5)', '6, (m3, P5)')	78
major	('6, (M3, P5)', '2, (M3, P5)')	78
major	('3, (m3, m6)', '5, (P4, P5)')	78
major	('4, (M3, P5)', '5, (P4, P5)')	77
major	('#4, (m3, d5, m7)', '5, (M3, P5)')	77
major	('1, (M3, P5)', '3, (m3, d5, m6)')	77
major	('5, (M3, P5)', '5, (P4, m6)')	77
major	('5, (P4, M6)', '5, (P4, P5, m7)')	76
major	('2, (m3, P5, m7)', '3, (m3, m6)')	76
major	('6, (m3, m7)', '6, (m3, m6)')	76
major	('5, (M3, P5)', '2, (P4, M6)')	76
major	('6, (m3, P5, m7)', '7, (m3, m6)')	76
major	('1, (M3, P5)', '5, (P4, P5, m7)')	76
major	('7, (m3, d5)', '5, (M3, P5)')	74
major	('5, (P4, M6)', '5, (P4, M6)')	74
major	('6, (m3, P5)', '3, (M3, P5)')	73
major	('#5, (m3, d5)', '6, (m3, P5)')	73
major	('6, (m3, P5)', '7, (m3, m6)')	73
major	('3, (m3, m6)', '3, (m3, d5, m6)')	73
major	('4, (M3, P5)', '2, (m3, P5, m7)')	73
major	('6, (m3, P5)', '2, (M3, P5, m7)')	73
major	('1, (M3, P5)', '2, (M3, P5, m7)')	72
major	('1, (M3, P5)', '2, (M3, P5)')	72
major	('5, (M3, P5, m7)', '5, (P4, P5, m7)')	72
major	('1, (M3, M6)', '2, (m3, P5)')	71
major	('6, (m3, P5)', '1, (M3, P5)')	70
major	('3, (m3, P5)', '3, (m3, m6)')	70
major	('3, (m3, P5)', '6, (m3, P5)')	70
major	('#1, (m3, d5, d7)', '2, (m3, P5)')	70
major	('1, (M2, P4, M6)', '7, (m3, d5, m6)')	70
major	('4, (m3, a4, M6)', '3, (m3, m6)')	69
major	('3, (m3, m6)', '2, (m3, m7)')	69
major	('1, (M3, P5, m7)', '6, (m3, m6)')	69
major	('1, (M3, P5)', '1, (P4, P5)')	68
major	('3, (m3, m6)', '4, (M3, P5, M7)')	68
major	('5, (M3, P5)', '7, (m3, d5)')	68
major	('5, (M3, P5, m7)', '6, (m3, m6)')	68
major	('5, (M3, P5, m7)', '1, (P4, M6)')	68
major	('6, (M3, P5, m7)', '6, (P4, m6)')	67
major	('6, (m3, P5)', '6, (m3, M6)')	67
major	('3, (m3, M6)', '2, (m3, P5)')	67
major	('6, (m3, P5, m7)', '5, (M3, P5)')	67
major	('4, (M3, M6)', '4, (M3, P5)')	67
major	('5, (M3, P5)', '6, (m3, P4, M6)')	66
major	('7, (m3, m7)', '7, (m3, m6)')	66
major	('6, (P4, P5)', '6, (M3, P5)')	65
major	('4, (M3, P5)', '7, (m3, d5)')	65
major	('5, (M3, P5)', '2, (M3, P5)')	65
major	('2, (P4, M6)', '5, (M3, P5)')	65
major	('1, (M3, P5, m7)', '1, (P4, M6)')	65
major	('5, (M3, P5, m7)', '#5, (m3, d5, d7)')	65
major	('1, (a2, P5)', '1, (M3, P5)')	64
major	('2, (P4, M6)', '2, (M3, P5, m7)')	64
major	('1, (M3, P5)', '7, (m2, P4, m6)')	64
major	('5, (M3, P5, m7)', '5, (M3, M6, m7)')	64
major	('1, (M3, P5)', '1, (M2, P4, M6)')	64
major	('4, (M3, P5)', '1, (M3, P5, m7)')	63
major	('4, (M3, M6)', '3, (m3, m7)')	63
major	('7, (M3, P5, m7)', '3, (m3, P5)')	63
major	('1, (M3, P5)', '6, (m3, P4, M6)')	62
major	('1, (M3, P5)', '4, (a4, M6)')	62
major	('4, (M3, M6)', '#4, (m3, d5)')	62
major	('5, (M3, M6)', '6, (m3, P5)')	62
major	('5, (M3, P5)', '1, (P4, P5)')	61
major	('1, (M3, P5)', '5, (M3, M6)')	61
major	('1, (M3, P5)', '4, (M3, M7)')	61
major	('b6, (a2, a4, M6)', '5, (M3, P5, m7)')	61
major	('7, (m3, m6)', '6, (m3, M6)')	61
major	('7, (m3, m6)', '1, (M3, M6)')	60
major	('3, (m3, M6)', '4, (M3, M6)')	60
major	('5, (P4, M6)', '4, (a4, M6)')	60
major	('3, (m3, m6)', '3, (M3, m6)')	60
major	('5, (P4, M6)', '4, (M3, P5, M6)')	59
major	('2, (m3, M6)', '5, (M3, P5)')	59
major	('1, (M3, P5)', '1, (M2, a4, M6)')	59
major	('6, (m3, P5, m7)', '2, (M3, P5, m7)')	58
major	('6, (m3, P5)', '#4, (m3, d5, m6)')	58
major	('5, (M3, P5)', '#4, (m3, d5, m6)')	58
major	('4, (M2, a4, M6)', '7, (m3, d5, m6)')	58
major	('2, (m3, P5)', '1, (M2, P4, M6)')	58
major	('1, (M3, P5)', '1, (M3, P5, M6)')	58
major	('5, (M3, P5, m7)', 'b6, (a2, a4, M6)')	58
major	('7, (m3, P4, M6)', '6, (m3, P5)')	57
major	('5, (M3, P5, m7)', '1, (M3, P5, m7)')	57
major	('6, (m3, P5)', '5, (M3, M6)')	57
major	('5, (M3, M6)', '5, (M3, P5)')	57
major	('1, (M3, P5)', '1, (m3, P5)')	57
major	('b3, (M3, M6)', '1, (m3, P5)')	57
major	('1, (M3, P5)', '5, (M3, M6, m7)')	56
major	('7, (m3, d5, m6)', '4, (M2, a4, M6)')	56
major	('5, (M3, M6, m7)', '1, (M3, P5)')	56
major	('1, (a2, a4, M6)', '1, (M3, P5)')	56
major	('6, (P4, P5)', '6, (m3, P5)')	55
major	('2, (m3, P5)', '4, (M3, P5)')	55
major	('1, (M2, a4, M6)', '5, (M3, P5)')	55
major	('5, (P4, M6)', '4, (M3, M6)')	54
major	('4, (M3, M6)', '5, (M3, M6)')	54
major	('4, (M3, P5, M6)', '2, (m3, P5, m7)')	54
major	('5, (M3, P5, m7)', '2, (m3, P4, M6)')	54
major	('b6, (M3, M6)', '5, (M3, P5, m7)')	54
major	('2, (m3, P4, m7)', '2, (m3, P4, M6)')	54
major	('4, (M3, P5)', '4, (M3, P5, M6)')	54
major	('1, (m3, a4, M6)', '7, (m3, m6)')	54
major	('4, (M3, M6)', '4, (M3, M6)')	54
major	('6, (m3, P5, m7)', '7, (m3, d5)')	53
major	('1, (M3, M6)', '6, (m3, P5)')	53
major	('5, (M3, M6)', '4, (M3, P5)')	53
major	('5, (M3, M6)', '6, (m3, m6)')	53
major	('5, (M3, P5)', '1, (M3, M6)')	53
major	('6, (m3, m6)', '7, (m3, d5, m7)')	53
major	('1, (M3, M6)', '5, (M3, P5)')	52
major	('3, (m3, P4, M6)', '2, (m3, P5)')	52
major	('5, (M3, P5)', '#4, (m3, d5)')	52
major	('1, (M3, P5)', '7, (P4, m6)')	52
major	('5, (M3, P5, m7)', '5, (M3, M6)')	52
major	('5, (M3, P5, m7)', '1, (M3, P5, M7)')	51
major	('1, (M3, P5)', '#4, (m3, d5, d7)')	51
major	('6, (m3, M6)', '7, (m3, m6)')	51
major	('6, (m3, P5)', '2, (m3, P5, m7)')	51
major	('5, (P4, m6)', '5, (M3, P5, m7)')	51
major	('4, (m3, a4, M6)', '1, (M3, P5)')	51
major	('4, (M3, P5, M7)', '5, (M3, P5)')	51
major	('2, (m3, P4, M6)', '1, (P4, P5)')	50
major	('1, (M3, P5)', '3, (m3, P5)')	50
major	('5, (m3, M6)', '4, (M3, P5)')	50
major	('6, (m3, m6)', '6, (m3, P5)')	49
major	('1, (a4, M6)', '7, (m3, m6)')	49
major	('3, (m3, m6)', '1, (M3, M6)')	49
major	('6, (m3, P5)', '7, (m3, d5)')	49
major	('b6, (M3, a6)', '5, (M3, P5)')	49
major	('7, (m3, d5, m6)', '3, (m3, m6)')	48
major	('2, (m3, P5, m7)', '1, (M3, P5)')	48
major	('7, (m3, m6)', '1, (P4, P5)')	48
major	('1, (M3, P5)', '#4, (m3, d5, m6)')	48
major	('1, (M3, P5)', '2, (m3, P4, m7)')	48
major	('7, (m3, m6)', '1, (m3, P5)')	48
major	('1, (M3, P5)', '2, (m3, m7)')	47
major	('2, (m3, P5)', 'b7, (M3, P5)')	47
major	('1, (M3, P5)', '1, (M3, a4, M6)')	47
major	('1, (m3, P5)', '5, (M3, P5, m7)')	47
major	('5, (M3, P5)', '4, (M3, M6)')	47
major	('1, (M3, P5)', '7, (m3, d5, m7)')	47
major	('4, (M2, a4, M6)', '5, (M3, P5)')	47
major	('1, (M3, P5)', 'b7, (M3, P5)')	46
major	('1, (M3, P5)', '1, (M3, a5)')	46
major	('5, (M3, P5)', '4, (a4, M6)')	46
major	('2, (M3, P5, m7)', '5, (P4, P5)')	46
major	('4, (M2, a4, M6)', '2, (P4, M6)')	46
major	('5, (M3, M6)', '1, (M3, P5)')	46
major	('2, (m3, P4, M6)', '5, (M3, P5)')	45
major	('7, (m3, m6)', '6, (m3, P4, M6)')	45
major	('4, (M3, P5)', '1, (P4, M6)')	45
major	('1, (P4, M6)', '7, (m3, d5, m6)')	45
major	('#4, (m3, d5, m6)', '5, (P4, P5)')	45
major	('5, (M3, P5)', '5, (P4, P5)')	45
major	('4, (M2, a4, M6)', '5, (M3, P5, m7)')	44
major	('4, (M3, a5)', '4, (M3, M6)')	44
major	('3, (P4, P5)', '3, (m3, P5)')	44
major	('5, (M3, P5)', '5, (m3, P5)')	44
major	('5, (P4, M6)', '#4, (m3, d5, d7)')	44
major	('1, (M3, M6)', '2, (m3, M6)')	44
major	('2, (P4, M6)', '4, (M2, a4, M6)')	44
major	('5, (P4, M6)', '#4, (m3, d5, m6)')	44
major	('4, (M3, P5)', '3, (m3, d5, m6)')	44
major	('b6, (M3, P5, a6)', '5, (P4, M6)')	43
major	('7, (m3, d5)', '3, (m3, m6)')	43
major	('5, (M3, P5, m7)', '2, (m3, P5)')	43
major	('3, (m3, m6)', '4, (M3, M7)')	43
major	('2, (m3, P5)', '1, (M3, M6)')	43
major	('1, (M3, M6)', '7, (m3, m7)')	43
major	('4, (M3, P5)', '7, (m3, d5, m6)')	42
major	('4, (M3, M6)', '5, (P4, P5)')	42
major	('1, (M3, P5)', '1, (P4, m6)')	42
major	('7, (m3, d5)', '6, (m3, P5)')	42
major	('#4, (m3, d5, m6)', '4, (M2, a4, M6)')	42
major	('4, (M3, P5, M6)', '#4, (m3, d5, m6)')	42
major	('3, (m3, m6)', '2, (M3, P5, m7)')	42
major	('1, (M3, P5)', '#4, (m3, d5)')	42
major	('3, (M3, P5, m7)', '4, (M3, P5)')	42
major	('#4, (m3, d5, m6)', '5, (M3, P5, m7)')	42
major	('3, (m3, m6)', '7, (m3, d5)')	42
major	('6, (m3, P5)', '3, (m3, P5)')	41
major	('5, (M3, P5)', '1, (M3, P5, m7)')	41
major	('#4, (m3, d5, d7)', '5, (P4, P5)')	41
major	('6, (P4, m6)', '6, (M3, P5, m7)')	41
major	('7, (m3, m6)', '6, (m3, m7)')	41
major	('5, (M3, P5)', '#4, (m3, d5, d7)')	41
major	('3, (m3, m6)', '4, (a4, M6)')	41
major	('7, (m3, m6)', '4, (M2, a4, M6)')	41
major	('2, (m3, P4, M6)', '2, (m3, P4, M6)')	41
major	('1, (M3, a4, M6)', '1, (M3, P5)')	40
major	('5, (P4, M6)', '2, (m3, P4, M6)')	40
major	('6, (m3, P5)', '5, (M3, P5, m7)')	40
major	('2, (M3, P5)', '7, (m3, m6)')	40
major	('5, (M3, P5)', '#4, (m3, m6)')	40
major	('4, (M3, M6)', '#4, (m3, d5, d7)')	40
major	('4, (M3, P5)', '#4, (m3, d5, d7)')	40
major	('6, (m3, P5, m7)', '2, (m3, P5, m7)')	40
major	('3, (m3, P5)', '2, (m3, P5)')	40
major	('4, (M3, M6)', '3, (m3, M6)')	40
major	('5, (M3, P5)', 'b3, (M3, M6)')	40
major	('5, (M3, P5)', '1, (M2, a4, M6)')	39
major	('5, (P4, M6)', '6, (m3, P5)')	39
major	('4, (M3, P5)', '3, (m3, P5)')	39
major	('3, (M3, P5)', '3, (M3, P5, m7)')	39
major	('4, (M3, P5, M6)', '3, (m3, m6)')	39
major	('4, (M3, P5, M7)', '5, (P4, P5)')	39
major	('7, (m3, d5)', '1, (P4, P5)')	39
major	('3, (M3, P5)', '4, (M3, P5)')	39
major	('2, (M2, P4)', '1, (M3, P5)')	39
major	('6, (m3, m7)', '6, (m3, M6)')	39
major	('2, (M3, P5)', '5, (m3, P5)')	38
major	('2, (m3, P5)', '2, (m3, P5, m7)')	38
major	('6, (P4, m6)', '6, (m3, P5)')	38
major	('b6, (M3, a4, M6)', '5, (M3, P5, m7)')	38
major	('4, (M3, M6)', '#4, (m3, m6)')	38
major	('6, (m3, m6)', 'b6, (M3, M6)')	38
major	('2, (m3, M6)', '7, (m3, d5)')	38
major	('5, (M3, P5, m7)', '6, (m3, P5, m7)')	38
major	('1, (M3, P5)', '#4, (m3, d5, m7)')	38
major	('5, (P4, M6)', '7, (m3, d5, m6)')	38
major	('3, (m3, m6)', '1, (M3, P5, m7)')	38
major	('2, (m3, P5, m7)', '2, (m3, P5, m7)')	38
major	('1, (P4, m6)', '1, (M3, P5)')	38
major	('4, (M2, a4, M6)', '4, (M2, a4, M6)')	37
major	('5, (m3, P4, M6)', '6, (m3, m6)')	37
major	('6, (m3, P5)', '3, (P4, m6)')	37
major	('2, (M3, P5)', '2, (M3, P5, m7)')	37
major	('1, (M3, P5)', '#5, (m3, d5, m6)')	37
major	('1, (m3, a4, M6)', '5, (M3, P5)')	37
major	('5, (M3, P5)', '6, (m3, m7)')	37
major	('1, (M2, P4, M6)', '7, (m3, m6)')	37
major	('1, (M3, P5)', '6, (m3, P5, m6)')	37
major	('4, (M3, P5)', '4, (a4, M6)')	37
major	('3, (m3, m6)', '6, (m3, P5, m7)')	37
major	('6, (M3, P5)', '6, (M3, P5, m7)')	37
major	('3, (m3, m6)', '#4, (m3, d5, m6)')	36
major	('2, (m3, P4, M6)', '5, (P4, M6)')	36
major	('4, (M3, P5, M6)', '1, (M3, P5)')	36
major	('1, (M3, P5, m7)', '4, (m3, P5)')	36
major	('6, (P4, m6)', '5, (M3, P5, m7)')	36
major	('5, (M3, P5, m7)', '2, (m3, P5, m7)')	36
major	('b6, (M3, M6)', '5, (P4, M6)')	36
major	('4, (M3, M6)', '#4, (m3, d5, m7)')	36
major	('2, (m3, P5)', '#1, (m3, m6)')	36
major	('1, (M3, P5)', '6, (M3, P5)')	36
major	('4, (M3, P5)', '#4, (m3, m6)')	36
major	('2, (m3, P5)', '3, (m3, P5)')	35
major	('2, (m3, P5)', '6, (M3, P5, m7)')	35
major	('6, (m3, P5)', '3, (M3, P5, m7)')	35
major	('2, (m3, M6)', '5, (M3, P5, m7)')	35
