mode,major,major,major,minor,minor,minor
,chord,count,proportion_%,chord,count,proportion_%
rank,,,,,,
1,I,906,21.89 %,i,761,17.96 %
2,V,615,14.86 %,V,560,13.21 %
3,I6,416,10.05 %,i6,394,9.3 %
4,V65,232,5.61 %,V65,238,5.62 %
5,V7,228,5.51 %,ii%65,230,5.43 %
6,IV,165,3.99 %,V7,185,4.37 %
7,ii65,159,3.84 %,V43,172,4.06 %
8,V43,131,3.17 %,ii%43,128,3.02 %
9,vi,122,2.95 %,iv,112,2.64 %
10,V6,117,2.83 %,V2,98,2.31 %
11,ii,89,2.15 %,iv6,69,1.63 %
12,IV6,83,2.01 %,i64,69,1.63 %
13,V(4),81,1.96 %,I,59,1.39 %
14,V2,79,1.91 %,VI,57,1.34 %
15,ii7,52,1.26 %,V(4),49,1.16 %
16,ii6,41,0.99 %,IV,47,1.11 %
17,V(64),40,0.97 %,VIM7,47,1.11 %
18,I64,34,0.82 %,V65/iv,45,1.06 %
19,vi7,33,0.8 %,v6,43,1.01 %
20,V43/V,32,0.77 %,V6,37,0.87 %
21,ii43,30,0.72 %,ii%7,34,0.8 %
22,vi6,28,0.68 %,iio,33,0.78 %
23,V65/V,28,0.68 %,III,32,0.76 %
24,iii6,24,0.58 %,V(64),29,0.68 %
25,IVM7,22,0.53 %,iv7,26,0.61 %
26,V7/IV,19,0.46 %,III+6,26,0.61 %
27,IV64,18,0.43 %,V/iv,23,0.54 %
28,V7/V,15,0.36 %,v,23,0.54 %
29,viio6,14,0.34 %,VII,20,0.47 %
30,I(4),14,0.34 %,ii,19,0.45 %
31,V65/IV,14,0.34 %,IV6,19,0.45 %
32,V/V,13,0.31 %,#vi%7,17,0.4 %
33,iii7,12,0.29 %,ii65,17,0.4 %
34,iii,10,0.24 %,ii6,17,0.4 %
35,IVM7(9),10,0.24 %,III6,16,0.38 %
36,V2/IV,9,0.22 %,iv7(9),15,0.35 %
37,ii(4),9,0.22 %,V65/III,15,0.35 %
38,vii%7,9,0.22 %,#viio6,13,0.31 %
39,v6,9,0.22 %,III+M7(9),13,0.31 %
40,ii2,8,0.19 %,#viio65,13,0.31 %
41,IM7,8,0.19 %,ii7,13,0.31 %
42,V6/V,7,0.17 %,V7/iv,12,0.28 %
43,IV6(2),6,0.14 %,IV7,12,0.28 %
44,IV(9),6,0.14 %,ii%2,11,0.26 %
45,I(9),6,0.14 %,iio6,11,0.26 %
46,IV65,5,0.12 %,V6/iv,11,0.26 %
47,IVM2,5,0.12 %,i(4),11,0.26 %
48,I6(2),4,0.1 %,V2/iv,11,0.26 %
49,V65/ii,4,0.1 %,IV7(9),10,0.24 %
50,IM2,4,0.1 %,iv64,9,0.21 %
