,,,,Chord,Chord,Chord,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement
,,,,Intervals,P,RoO,Diatonic leap,Diatonic step,None,Other leap,Other step,Same,E,Diatonic leap,Diatonic step,None,Other leap,Other step,Same,E
B,P,E,SR,,,,,,,,,,,,,,,,,
5,0.24891251812469792,0.4877853483922579,1,"('M3', 'P5')",0.5970873786407767,True,0.4796747967479675,0.25203252032520324,0.07479674796747968,,0.026016260162601626,0.16747967479674797,0.8002117680790984,0.6894308943089431,0.1008130081300813,0.03414634146341464,0.008130081300813009,0.0016260162601626016,0.16585365853658537,0.5305218026767791
5,0.24891251812469792,0.4877853483922579,2,"('M3', 'P5', 'm7')",0.22135922330097088,False,0.4824561403508772,0.06578947368421052,0.02631578947368421,,,0.42543859649122806,0.714133059454479,0.8640350877192983,0.07894736842105263,0.0043859649122807015,,0.0043859649122807015,0.04824561403508772,0.3234651388916377
5,0.24891251812469792,0.4877853483922579,3,"('P4', 'P5')",0.07864077669902912,False,0.5679012345679012,0.345679012345679,0.012345679012345678,0.012345679012345678,0.037037037037037035,0.024691358024691357,0.5639605890231,0.037037037037037035,,0.012345679012345678,,,0.9506172839506173,0.20431529924656608
5,0.24891251812469792,0.4877853483922579,4,"('P4', 'M6')",0.07184466019417475,False,0.40540540540540543,0.33783783783783783,0.02702702702702703,,0.013513513513513514,0.21621621621621623,0.757737146139494,0.0945945945945946,0.2972972972972973,0.013513513513513514,,0.013513513513513514,0.581081081081081,0.6309480515448077
5,0.24891251812469792,0.4877853483922579,5,"('M3', 'M6')",0.02330097087378641,False,0.08333333333333333,0.20833333333333334,0.08333333333333333,,,0.625,0.7463770960154825,0.16666666666666666,0.8333333333333334,,,,,0.6500224216483541
5,0.24891251812469792,0.4877853483922579,6,Other,0.007766990291262135,False,0.625,0.25,0.125,0.0,0.0,0.0,0.5024424688300348,0.5,0.5,0.0,0.0,0.0,0.0,0.38685280723454163
1,0.24697921701304978,0.21878646260995147,1,"('M3', 'P5')",0.8943248532289628,True,0.5908096280087527,0.2921225382932166,0.0711159737417943,,,0.045951859956236324,0.7212978931900944,0.563457330415755,0.14989059080962802,0.21334792122538293,0.0010940919037199124,0.0032822757111597373,0.06892778993435449,0.6406460063092895
1,0.24697921701304978,0.21878646260995147,2,"('M3', 'M6')",0.0273972602739726,False,0.2857142857142857,0.17857142857142858,0.03571428571428571,,,0.5,0.8159522934708865,0.2857142857142857,0.5,0.21428571428571427,,,,0.9417346261113357
1,0.24697921701304978,0.21878646260995147,3,"('M3', 'P5', 'm7')",0.019569471624266144,False,0.65,0.05,,,,0.3,0.7199877141320895,0.85,,0.05,,,0.1,0.4716734178155154
1,0.24697921701304978,0.21878646260995147,4,"('P4', 'M6')",0.019569471624266144,False,0.05,0.05,,,,0.9,0.3589962496465304,0.05,0.4,0.05,,,0.5,0.7304820237218406
1,0.24697921701304978,0.21878646260995147,5,"('P4', 'P5')",0.014677103718199608,False,0.2,0.8,,,,,0.7219280948873623,0.06666666666666667,,,,,0.9333333333333333,0.35335933502142136
