mode,major,major,major,minor,minor,minor
,chord,count,proportion_%,chord,count,proportion_%
rank,,,,,,
1,I,1177,15.52 %,i,1099,17.02 %
2,V,864,11.39 %,V,836,12.95 %
3,I6,646,8.52 %,i6,418,6.47 %
4,IV,408,5.38 %,iv,298,4.61 %
5,V7,303,3.99 %,iv6,265,4.1 %
6,vi,290,3.82 %,V(4),253,3.92 %
7,V6,266,3.51 %,V7,232,3.59 %
8,V(4),264,3.48 %,V6,182,2.82 %
9,ii6,260,3.43 %,VI,152,2.35 %
10,IV6,216,2.85 %,ii%65,150,2.32 %
11,ii65,198,2.61 %,v6,142,2.2 %
12,iii6,140,1.85 %,iio6,116,1.8 %
13,ii,137,1.81 %,iv6(2),115,1.78 %
14,viio6,123,1.62 %,i(9),96,1.49 %
15,vi6,102,1.34 %,V(64),87,1.35 %
16,ii7,95,1.25 %,iv7,84,1.3 %
17,viio,92,1.21 %,III,82,1.27 %
18,IV(9),92,1.21 %,#viio,78,1.21 %
19,iii,90,1.19 %,#viio6,74,1.15 %
20,I(9),78,1.03 %,VI6,72,1.11 %
21,V65,77,1.02 %,V65,71,1.1 %
22,I(4),67,0.88 %,V2,51,0.79 %
23,V/V,61,0.8 %,IV,50,0.77 %
24,V(64),59,0.78 %,v,50,0.77 %
25,V2,58,0.76 %,ii%7,46,0.71 %
26,I/V,54,0.71 %,iv(9),44,0.68 %
27,IVM7,54,0.71 %,III6,40,0.62 %
28,vi7,50,0.66 %,V/iv,38,0.59 %
29,ii6(2),49,0.65 %,i(4),37,0.57 %
30,V7/V,49,0.65 %,V/III,35,0.54 %
31,IVM65,37,0.49 %,V6/iv,35,0.54 %
32,I6(2),36,0.47 %,IV6(2),31,0.48 %
33,IV6(2),35,0.46 %,I/III,31,0.48 %
34,V6/V,35,0.46 %,IV6,28,0.43 %
35,I6/V,33,0.44 %,IV(9),28,0.43 %
36,ii2,32,0.42 %,v6(2),27,0.42 %
37,V/vi,32,0.42 %,i/v,27,0.42 %
38,ii(9),30,0.4 %,ii%2,25,0.39 %
39,viio6/V,25,0.33 %,IV65,25,0.39 %
40,iii(4),25,0.33 %,V7/III,23,0.36 %
41,i/vi,25,0.33 %,V6/III,23,0.36 %
42,iii7,25,0.33 %,bII6,21,0.33 %
43,V6(2),24,0.32 %,V/v,21,0.33 %
44,viio6(2),23,0.3 %,V65/iv,20,0.31 %
45,vi(9),23,0.3 %,V7/iv,19,0.29 %
46,iii6(2),21,0.28 %,VII,17,0.26 %
47,ii7/V,21,0.28 %,V(9),16,0.25 %
48,IV/V,17,0.22 %,ii6,15,0.23 %
49,V(4)/V,14,0.18 %,V65/III,15,0.23 %
50,V65/V,14,0.18 %,iio6(2),14,0.22 %
