,major,major,major,major,minor,minor,minor,minor
,subset_size,RoO,top-10,difference,subset_size,RoO,top-10,difference
subset_name,,,,,,,,
all,4138 (100.0 %),0.6715804736587724,0.7508458192363461,-0.0792653455775737,4238 (100.0 %),0.6269466729589429,0.6849929211892402,-0.05804624823029725
diatonic,4072 (98.4 %),0.6824656188605108,0.763015717092338,-0.08055009823182713,4163 (98.2 %),0.6382416526543359,0.6973336536151814,-0.05909200096084555
first_notes,274 (6.6 %),0.7554744525547445,0.7773722627737226,-0.021897810218978075,276 (6.5 %),0.6847826086956522,0.6920289855072463,-0.007246376811594124
from_ascending,697 (16.8 %),0.6987087517934003,0.806312769010043,-0.1076040172166427,695 (16.4 %),0.7050359712230215,0.7712230215827338,-0.06618705035971229
from_descending,603 (14.6 %),0.7927031509121062,0.7296849087893864,0.06301824212271978,655 (15.5 %),0.7145038167938931,0.6473282442748092,0.0671755725190839
from_either,1300 (31.4 %),0.7423076923076923,0.7707692307692308,-0.028461538461538427,1350 (31.9 %),0.7096296296296296,0.7111111111111111,-0.001481481481481528
from_leap,2004 (48.4 %),0.6806387225548902,0.7929141716566867,-0.11227544910179643,1850 (43.7 %),0.6432432432432432,0.7124324324324325,-0.06918918918918926
from_same,454 (11.0 %),0.48237885462555063,0.6299559471365639,-0.14757709251101325,446 (10.5 %),0.4618834080717489,0.6322869955156951,-0.17040358744394624
last_notes,279 (6.7 %),0.8279569892473119,0.9175627240143369,-0.08960573476702505,286 (6.7 %),0.6293706293706294,0.6643356643356644,-0.034965034965035
to_and_from_ascending,164 (4.0 %),0.8475609756097561,0.8109756097560976,0.03658536585365846,159 (3.8 %),0.8113207547169812,0.7672955974842768,0.04402515723270439
to_and_from_descending,231 (5.6 %),0.8571428571428571,0.6320346320346321,0.22510822510822504,259 (6.1 %),0.7451737451737451,0.5521235521235521,0.193050193050193
to_and_from_either,546 (13.2 %),0.8516483516483516,0.7582417582417582,0.09340659340659341,532 (12.6 %),0.7838345864661654,0.6766917293233082,0.1071428571428572
to_and_from_leap,1087 (26.3 %),0.641214351425943,0.8160073597056118,-0.17479300827966882,924 (21.8 %),0.6212121212121212,0.7272727272727273,-0.10606060606060608
to_and_from_same,45 (1.1 %),0.4444444444444444,0.5555555555555556,-0.11111111111111116,22 (0.5 %),0.4090909090909091,0.5454545454545454,-0.1363636363636363
to_ascending,697 (16.8 %),0.806312769010043,0.787661406025825,0.01865136298421799,695 (16.4 %),0.7654676258992805,0.7798561151079136,-0.014388489208633115
to_descending,603 (14.6 %),0.7396351575456053,0.615257048092869,0.12437810945273631,655 (15.5 %),0.7145038167938931,0.6076335877862595,0.10687022900763354
to_either,1300 (31.4 %),0.7753846153846153,0.7076923076923077,0.06769230769230761,1350 (31.9 %),0.7407407407407407,0.6962962962962963,0.0444444444444444
to_leap,2011 (48.6 %),0.6673296867230234,0.8403779214321233,-0.1730482347090999,1863 (44.0 %),0.6478797638217928,0.7681159420289855,-0.12023617820719268
to_same,454 (11.0 %),0.40308370044052866,0.48237885462555063,-0.07929515418502198,446 (10.5 %),0.3632286995515695,0.47533632286995514,-0.11210762331838564
