,,,,Chord,Chord,Chord,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement
,,,,Intervals,P,RoO,Diatonic leap,Diatonic step,None,Other leap,Other step,Same,E,Diatonic leap,Diatonic step,None,Other leap,Other step,Same,E
B,P,E,SR,,,,,,,,,,,,,,,,,
5,0.23336479471448796,0.5327188832979712,1,"('M3', 'P5')",0.5682507583417593,True,0.42704626334519574,0.3932384341637011,0.03914590747330961,,0.01601423487544484,0.12455516014234876,0.7349708131786615,0.6423487544483986,0.09252669039145907,0.04092526690391459,0.030249110320284697,0.03202846975088968,0.1619217081850534,0.6397005635923502
5,0.23336479471448796,0.5327188832979712,2,"('M3', 'P5', 'm7')",0.18806875631951467,False,0.42473118279569894,0.11827956989247312,0.021505376344086023,,0.005376344086021506,0.43010752688172044,0.6770955986062628,0.8763440860215054,0.021505376344086023,0.005376344086021506,,0.043010752688172046,0.053763440860215055,0.3223627207026633
5,0.23336479471448796,0.5327188832979712,3,"('P4', 'm6')",0.09908998988877654,False,0.25510204081632654,0.5408163265306123,0.05102040816326531,,0.01020408163265306,0.14285714285714285,0.7191980632352851,0.12244897959183673,0.336734693877551,,,0.24489795918367346,0.29591836734693877,0.9583492852030625
5,0.23336479471448796,0.5327188832979712,4,"('P4', 'P5')",0.0525783619817998,False,0.4230769230769231,0.5769230769230769,,,,,0.9828586897127056,,,0.019230769230769232,,,0.9807692307692307,0.1370994788998177
5,0.23336479471448796,0.5327188832979712,5,"('M3', 'm6')",0.0262891809908999,False,0.34615384615384615,0.3076923076923077,0.038461538461538464,,,0.3076923076923077,0.8785020703593767,0.07692307692307693,0.15384615384615385,,,0.7692307692307693,,0.6254181156238111
5,0.23336479471448796,0.5327188832979712,6,Other,0.06572295247724975,False,0.36923076923076925,0.3076923076923077,0.046153846153846156,0.015384615384615385,0.0,0.26153846153846155,0.7185611759414314,0.15384615384615385,0.3076923076923077,0.12307692307692308,0.09230769230769231,0.2,0.12307692307692308,0.9533277628436369
1,0.2220386974988202,0.279628562706058,1,"('m3', 'P5')",0.8182784272051009,True,0.5428571428571428,0.3064935064935065,0.10909090909090909,,0.0025974025974025974,0.03896103896103896,0.6696008170875661,0.548051948051948,0.09220779220779221,0.19480519480519481,0.01038961038961039,0.09610389610389611,0.05844155844155844,0.7292017782962389
1,0.2220386974988202,0.279628562706058,2,"('M3', 'P5')",0.08820403825717323,False,0.7228915662650602,0.10843373493975904,0.03614457831325301,0.03614457831325301,0.012048192771084338,0.08433734939759036,0.5454356702451526,0.26506024096385544,0.03614457831325301,0.5662650602409639,0.04819277108433735,0.012048192771084338,0.07228915662650602,0.6604017343678967
1,0.2220386974988202,0.279628562706058,3,"('P4', 'P5')",0.015940488841657812,False,0.2,0.8,,,,,0.7219280948873623,0.06666666666666667,,,,,0.9333333333333333,0.35335933502142136
1,0.2220386974988202,0.279628562706058,4,"('M3', 'P5', 'm7')",0.015940488841657812,False,0.26666666666666666,,,0.5333333333333333,0.06666666666666667,0.13333333333333333,0.820111964470926,0.9333333333333333,,,0.06666666666666667,,,0.35335933502142136
