,,,,Chord,Chord,Chord,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Preceding Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement,Subsequent Movement
1,0.2220386974988202,0.279628562706058,5,"('M2', 'P4', 'm6')",0.011689691817215728,False,0.09090909090909091,0.2727272727272727,,,,0.6363636363636364,0.7827759528141421,,0.36363636363636365,0.09090909090909091,,0.5454545454545454,,0.8342022886441014
1,0.2220386974988202,0.279628562706058,6,Other,0.049946865037194484,False,0.40425531914893614,0.0425531914893617,0.06382978723404255,0.0,0.02127659574468085,0.46808510638297873,0.6213734335639527,0.3404255319148936,0.5106382978723404,0.0,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.6380338739889826
4,0.14912694667295895,0.6540525563401425,1,"('m3', 'P5', 'M6')",0.36550632911392406,True,0.5151515151515151,0.3463203463203463,0.05194805194805195,,,0.08658008658008658,0.7750180849265669,0.11688311688311688,0.8354978354978355,,,0.008658008658008658,0.03896103896103896,0.41016998442202446
4,0.14912694667295895,0.6540525563401425,2,"('m3', 'P5')",0.1930379746835443,False,0.39344262295081966,0.16393442622950818,0.07377049180327869,,0.30327868852459017,0.06557377049180328,0.8675453050087129,0.5163934426229508,0.22950819672131148,0.09016393442622951,,0.01639344262295082,0.14754098360655737,0.7740280935598811
4,0.14912694667295895,0.6540525563401425,3,"('M2', 'a4', 'M6')",0.1550632911392405,True,0.1326530612244898,0.5612244897959183,0.12244897959183673,0.01020408163265306,,0.17346938775510204,0.7455742747838189,0.08163265306122448,0.8673469387755102,0.01020408163265306,,0.030612244897959183,0.01020408163265306,0.32823024042344895
4,0.14912694667295895,0.6540525563401425,4,"('M3', 'P5')",0.08860759493670886,False,0.5892857142857143,0.14285714285714285,0.08928571428571429,,0.14285714285714285,0.03571428571428571,0.747048706108928,0.625,0.10714285714285714,0.08928571428571429,,0.017857142857142856,0.16071428571428573,0.6924527642462776
4,0.14912694667295895,0.6540525563401425,5,"('m3', 'P5', 'm7')",0.06645569620253164,False,0.5238095238095238,0.35714285714285715,0.09523809523809523,,,0.023809523809523808,0.735315204911424,0.19047619047619047,0.40476190476190477,0.023809523809523808,,0.023809523809523808,0.35714285714285715,0.7627805271497554
4,0.14912694667295895,0.6540525563401425,6,Other,0.13132911392405067,False,0.40963855421686746,0.27710843373493976,0.07228915662650602,0.0,0.03614457831325301,0.20481927710843373,0.7567450570992067,0.27710843373493976,0.5542168674698795,0.012048192771084338,0.0,0.0,0.1566265060240964,0.5728068062964059
3,0.11585653610193487,0.3377513116743943,1,"('M3', 'M6')",0.8065173116089613,True,0.4444444444444444,0.44191919191919193,0.06818181818181818,,,0.045454545454545456,0.7537407822175862,0.43686868686868685,0.5277777777777778,0.010101010101010102,,0.0025252525252525255,0.022727272727272728,0.5260204681207497
3,0.11585653610193487,0.3377513116743943,2,"('M3', 'P5')",0.07535641547861507,False,0.4594594594594595,0.3783783783783784,0.08108108108108109,,,0.08108108108108109,0.8168940853227296,0.5135135135135135,0.13513513513513514,0.13513513513513514,,0.02702702702702703,0.1891891891891892,0.8051135829496043
3,0.11585653610193487,0.3377513116743943,3,"('M3', 'a5', 'M7')",0.03054989816700611,False,0.4666666666666667,0.4666666666666667,0.06666666666666667,,,,0.8118126881672664,0.6,,,,,0.4,0.9709505944546686
3,0.11585653610193487,0.3377513116743943,4,"('M2', 'a4', 'M6')",0.02240325865580448,False,,0.45454545454545453,0.2727272727272727,,,0.2727272727272727,0.9713067383178076,,1.0,,,,,0.0
3,0.11585653610193487,0.3377513116743943,5,"('M3', 'a5')",0.014256619144602852,False,0.14285714285714285,0.42857142857142855,0.42857142857142855,,,,0.9141008920185653,0.5714285714285714,,,,,0.42857142857142855,0.9852281360342515
3,0.11585653610193487,0.3377513116743943,6,Other,0.05091649694501019,False,0.32,0.24,0.08,0.0,0.0,0.36,0.712695905092801,0.2,0.44,0.04,0.0,0.0,0.32,0.6566132615553691
2,0.07999056158565361,0.6666174558072033,1,"('m3', 'P4', 'M6')",0.5073746312684366,True,0.2441860465116279,0.7034883720930233,0.03488372093023256,,,0.01744186046511628,0.5621892204515598,0.20348837209302326,0.7906976744186046,,,0.005813953488372093,,0.49116298784384554
2,0.07999056158565361,0.6666174558072033,2,"('m3', 'd5', 'm7')",0.10914454277286136,False,0.5675675675675675,0.43243243243243246,,,,,0.9867867202680318,0.7837837837837838,0.02702702702702703,,,0.02702702702702703,0.16216216216216217,0.4913317657465488
2,0.07999056158565361,0.6666174558072033,3,"('m3', 'd5')",0.10029498525073746,False,0.5294117647058824,0.20588235294117646,0.23529411764705882,,,0.029411764705882353,0.7979941488550983,0.8529411764705882,0.14705882352941177,,,,,0.6024308020404452
2,0.07999056158565361,0.6666174558072033,4,"('m3', 'P5')",0.05604719764011799,False,0.8947368421052632,,0.10526315789473684,,,,0.4854607607459134,0.7894736842105263,0.05263157894736842,,,0.05263157894736842,0.10526315789473684,0.529138521613167
2,0.07999056158565361,0.6666174558072033,5,"('m3', 'd5', 'm6')",0.04424778761061947,False,0.4666666666666667,0.26666666666666666,,,,0.26666666666666666,0.9654013672997089,0.06666666666666667,0.8666666666666667,,,,0.06666666666666667,0.4415516705081735
2,0.07999056158565361,0.6666174558072033,6,Other,0.1828908554572271,False,0.4032258064516129,0.46774193548387094,0.04838709677419355,0.0,0.0,0.08064516129032258,0.5978609824943608,0.41935483870967744,0.46774193548387094,0.0,0.0,0.04838709677419355,0.06451612903225806,0.5822284636338699
6,0.07503539405379896,0.6373888500528606,1,"('M3', 'a4', 'M6')",0.4025157232704403,True,0.3125,0.078125,0.0625,0.015625,0.265625,0.265625,0.8400633289320694,0.4609375,0.53125,,0.0078125,,,0.6653183179669772
6,0.07503539405379896,0.6373888500528606,2,"('M3', 'M6')",0.2169811320754717,False,0.3333333333333333,0.2463768115942029,0.028985507246376812,0.014492753623188406,0.15942028985507245,0.21739130434782608,0.8370725948009702,0.3333333333333333,0.4057971014492754,0.08695652173913043,0.043478260869565216,0.10144927536231885,0.028985507246376812,0.7901001995617244
6,0.07503539405379896,0.6373888500528606,3,"('M3', 'P5')",0.1792452830188679,False,0.47368421052631576,0.017543859649122806,0.07017543859649122,,0.43859649122807015,,0.7017224868825309,0.7017543859649122,0.07017543859649122,0.19298245614035087,,,0.03508771929824561,0.627577712341101
6,0.07503539405379896,0.6373888500528606,4,"('M3', 'P5', 'M7')",0.1509433962264151,False,0.375,0.3333333333333333,0.08333333333333333,0.020833333333333332,0.1875,,0.829861911595212,0.125,0.0625,,,,0.8125,0.5478948105177535
6,0.07503539405379896,0.6373888500528606,5,"('M3', 'M7')",0.018867924528301886,False,0.16666666666666666,0.8333333333333334,,,,,0.6500224216483541,,,,,,1.0,0.0
6,0.07503539405379896,0.6373888500528606,6,Other,0.031446540880503145,False,0.4,0.0,0.2,0.1,0.2,0.1,0.8208738402570187,0.5,0.2,0.1,0.0,0.1,0.1,0.7586044466395969
#7,0.06772062293534686,0.36177215147805325,1,"('m3', 'd5', 'm6')",0.8292682926829268,True,0.5294117647058824,0.09243697478991597,0.058823529411764705,0.012605042016806723,0.2857142857142857,0.02100840336134454,0.6796043056379476,0.3697478991596639,0.6134453781512605,0.004201680672268907,0.008403361344537815,,0.004201680672268907,0.46835579802747535
#7,0.06772062293534686,0.36177215147805325,2,"('m3', 'm6')",0.1289198606271777,False,0.40540540540540543,0.02702702702702703,0.10810810810810811,0.02702702702702703,0.40540540540540543,0.02702702702702703,0.7061951642737495,0.43243243243243246,0.2972972972972973,0.05405405405405406,,0.10810810810810811,0.10810810810810811,0.8461749885077134
#7,0.06772062293534686,0.36177215147805325,3,"('m3', 'd5', 'd7')",0.0313588850174216,False,0.7777777777777778,,0.1111111111111111,0.1111111111111111,,,0.6223659728744493,0.6666666666666666,0.2222222222222222,,,,0.1111111111111111,0.7725068857142602
#7,0.06772062293534686,0.36177215147805325,4,"('m3', 'd5')",0.006968641114982578,False,,0.5,,,0.5,,1.0,,1.0,,,,,0.0
#7,0.06772062293534686,0.36177215147805325,5,"('m3', 'd5', 'm7')",0.003484320557491289,False,1.0,,,,,,0.0,1.0,,,,,,0.0
7,0.02737140160453044,0.7795296005952097,1,"('M3', 'M6')",0.3706896551724138,True,0.06976744186046512,0.6976744186046512,,0.046511627906976744,0.023255813953488372,0.16279069767441862,0.5981025170002671,0.09302325581395349,0.5581395348837209,0.023255813953488372,,0.18604651162790697,0.13953488372093023,0.7589974179209292
7,0.02737140160453044,0.7795296005952097,2,"('M3', 'P5')",0.25,False,0.6206896551724138,0.10344827586206896,0.034482758620689655,,0.20689655172413793,0.034482758620689655,0.6765800463871282,0.5172413793103449,0.034482758620689655,0.10344827586206896,,0.10344827586206896,0.2413793103448276,0.7888335765791941
7,0.02737140160453044,0.7795296005952097,3,"('M3', 'P5', 'm7')",0.12931034482758622,False,0.4,0.4,,,0.06666666666666667,0.13333333333333333,0.8527936308491301,0.6666666666666666,,,,,0.3333333333333333,0.9182958340544896
7,0.02737140160453044,0.7795296005952097,4,"('M2', 'a4', 'M6')",0.09482758620689655,False,0.09090909090909091,0.2727272727272727,,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.9122066329329885,0.09090909090909091,0.9090909090909091,,,,,0.4394969869215134
7,0.02737140160453044,0.7795296005952097,5,"('M2', 'P4', 'M6')",0.0603448275862069,False,,1.0,,,,,0.0,,0.8571428571428571,0.14285714285714285,,,,0.5916727785823275
7,0.02737140160453044,0.7795296005952097,6,Other,0.09482758620689656,False,0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.5454545454545454,0.5114887914806514,0.09090909090909091,0.7272727272727273,0.0,0.0,0.0,0.18181818181818182,0.4239114705514015
#3,0.015809344030202926,0.5276405557081923,1,"('m3', 'd5', 'm6')",0.7313432835820896,False,,,0.1836734693877551,0.5918367346938775,0.14285714285714285,0.08163265306122448,0.7965155513832813,,,,0.12244897959183673,0.8775510204081632,,0.5363596511250623
#3,0.015809344030202926,0.5276405557081923,2,"('m3', 'm6')",0.22388059701492538,False,,,0.13333333333333333,0.7333333333333333,0.13333333333333333,,0.696109471426504,,,0.06666666666666667,0.4666666666666667,0.2,0.26666666666666666,0.8732328992520361
#3,0.015809344030202926,0.5276405557081923,3,"('m3', 'd5')",0.029850746268656716,False,,,,0.5,0.5,,1.0,,,,,1.0,,0.0
#3,0.015809344030202926,0.5276405557081923,4,"('m3', 'd5', 'm7')",0.014925373134328358,False,,,,,1.0,,0.0,,,,1.0,,,0.0
#6,0.011798017932987258,0.7172596431699043,1,"('m3', 'm6')",0.38,True,0.2631578947368421,0.42105263157894735,0.21052631578947367,,,0.10526315789473684,0.9237100600260872,0.10526315789473684,0.8421052631578947,,,0.05263157894736842,,0.4884931363139443
#6,0.011798017932987258,0.7172596431699043,2,"('m3', 'd5', 'm7')",0.34,False,0.29411764705882354,0.5882352941176471,0.058823529411764705,,0.058823529411764705,,0.7252337317042745,0.4117647058823529,0.35294117647058826,,,0.11764705882352941,0.11764705882352941,0.8919296718389884
#6,0.011798017932987258,0.7172596431699043,3,"('m3', 'd5', 'm6')",0.14,False,0.5714285714285714,,,0.42857142857142855,,,0.9852281360342515,,0.2857142857142857,,,0.7142857142857143,,0.863120568566631
#6,0.011798017932987258,0.7172596431699043,4,"('m3', 'P4', 'M6')",0.06,False,,,,0.3333333333333333,0.6666666666666666,,0.9182958340544896,,,,,1.0,,0.0
#6,0.011798017932987258,0.7172596431699043,5,"('m3', 'P4', 'm6')",0.02,False,,1.0,,,,,0.0,1.0,,,,,,0.0
#6,0.011798017932987258,0.7172596431699043,6,Other,0.06,False,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6131471927654584,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.355245321275764
#4,0.0018876828692779614,0.5435644431995964,1,"('m3', 'd5', 'm6')",0.875,False,,,,0.7142857142857143,0.2857142857142857,,0.863120568566631,,,,0.14285714285714285,0.8571428571428571,,0.5916727785823275
#4,0.0018876828692779614,0.5435644431995964,2,"('m3', 'd5', 'd7')",0.125,False,,,,1.0,,,0.0,,,,,1.0,,0.0
