key_regions	globalkey	localkey	length	length_norepeat	n_stepwise	%_stepwise	n_ascending	n_descending	bd	stepwise_bd	stepwise_chords	ascending_bd	ascending_chords	descending_bd	descending_chords	ixa	ixb
1	F	I	46	31	11	35.5	2	9	1 5 1 6 7 1 6 4 5 1 5 1 6 #5 #1 4 5 1 #4 5 1 4 5 1 3 2 3 4 #5 6 #4	['1 6 7', '6 4 5', '1 6 #5', '#1 4 4 5 5', '1 #4 #4 5', '1 4 4', '1 3 2 2 3 3 4 4', '4 #5']	['I IV6 V65', 'vi ii6 V(64)', 'I IV6 #viio7(6)/vi', '#viio7/ii ii6(11#7b6) ii6 V(64) V(6)', 'I viio7(b4)/V viio7/V V7(4)', 'V7/IV ii6(9#4) ii6', 'I I6 V64 V43 I6(6) I6 V2(6) V2', 'V2 V65/vi']	['1 6 #5', '1 3 2']	['I IV6 #viio7(6)/vi', 'I I6 V64']	['1 6 7', '6 4 5', '#1 4 4 5 5', '1 #4 #4 5', '1 4 4', '3 2 2 3 3 4 4', '4 #5']	['I IV6 V65', 'vi ii6 V(64)', '#viio7/ii ii6(11#7b6) ii6 V(64) V(6)', 'I viio7(b4)/V viio7/V V7(4)', 'V7/IV ii6(9#4) ii6', 'I6 V64 V43 I6(6) I6 V2(6) V2', 'V2 V65/vi']	('n01op18-1_01', 0)	('n01op18-1_01', 45)
2	F	v	22	11	7	63.6	0	7	1 6 7 1 2 3 4 #4 5 1 5	['1 6 7 1 1 1 2 3 4 #4 5 5 5 5 5 5 5 5']	['i VI V43/VI VI6(6) VI6 viio65/VII #viio65 i6 iio6 viio7/V V V(64) V V(64) V V(64) V V(64)']	[]	[]	['1 6 7 1 1 1 2 3 4 #4 5 5 5 5 5 5 5 5']	['i VI V43/VI VI6(6) VI6 viio65/VII #viio65 i6 iio6 viio7/V V V(64) V V(64) V V(64) V V(64)']	('n01op18-1_01', 46)	('n01op18-1_01', 67)
3	F	V	75	60	30	50.0	16	14	5 2 5 4 3 2 1 7 #5 b2 1 6 2 5 2 5 7 1 2 3 4 7 1 #4 5 1 2 3 7 4 5 1 3 2 7 1 4 3 2 7 1 #4 5 1 3 2 7 1 4 3 2 7 1 b6 #4 4 3 2 5 1	['2 5 4 3 2 1 7 7', '#5 b2', '5 7 1 2 3 4', '4 7', '1 #4 5', '5 1 1 2', '7 4 5', '1 3', '2 7', '1 4 3', '2 7', '1 #4 5', '1 3', '2 7', '1 4 3', '2 7', '1 b6 #4 4 3']	['ii V V2 I6 viio6 I viio(64) viio', 'V65/vi viio64/vi', 'V V65 I V43 I6 viio43(2)', 'viio43 viio7', 'i viio7/V V(b64)', 'V7 I I V43', 'viio ii6 V', 'I I6', 'V64 viio', 'I IV I6', 'viio6 viio', 'I V65/V V(64)', 'I I6', 'viio6 viio', 'I IV I6', 'viio6 viio', 'i bVI viio7/V Ger6/vi vi64']	['2 5 4 3 2 1 7 7', '#5 b2', '1 3', '1 4 3', '1 3', '1 4 3', '1 b6 #4 4 3']	['ii V V2 I6 viio6 I viio(64) viio', 'V65/vi viio64/vi', 'I I6', 'I IV I6', 'I I6', 'I IV I6', 'i bVI viio7/V Ger6/vi vi64']	['5 7 1 2 3 4', '4 7', '1 #4 5', '5 1 1 2', '7 4 5', '2 7', '2 7', '1 #4 5', '2 7', '2 7']	['V V65 I V43 I6 viio43(2)', 'viio43 viio7', 'i viio7/V V(b64)', 'V7 I I V43', 'viio ii6 V', 'V64 viio', 'viio6 viio', 'I V65/V V(64)', 'viio6 viio', 'viio6 viio']	('n01op18-1_01', 68)	('n01op18-1_01', 146)
4	F	III	1	1	0	0.0	0	0	1	[]	[]	[]	[]	[]	[]	('n01op18-1_01', 147)	('n01op18-1_01', 147)
5	F	IV	6	6	2	33.3	0	2	1 5 1 6 7 1	['1 6 7']	['IV64 IV6 viio']	[]	[]	['1 6 7']	['IV64 IV6 viio']	('n01op18-1_01', 148)	('n01op18-1_01', 153)
6	F	vi	11	10	7	70.0	2	5	#7 2 #7 1 2 3 4 3 4 3	['2 #7 1 2 3 4 3 4']	['#viio65 #viio7 i #viio65 i6 #viio43 i6 #viio43']	['3 4', '3 4']	['i6 #viio43', 'i6 #viio43']	['2 #7 1 2 3', '4 3']	['#viio65 #viio7 i #viio65 i6', '#viio43 i6']	('n01op18-1_01', 154)	('n01op18-1_01', 164)
7	F	ii	10	10	8	80.0	2	6	6 #7 1 #1 2 3 4 3 4 3	['6 #7 1 #1 2 3 4 3 4']	['#viio2 #viio7 VI6 V65/ii #viio65 i6 #viio43 i6 #viio43']	['3 4', '3 4']	['i6 #viio43', 'i6 #viio43']	['6 #7 1 #1 2 3', '4 3']	['#viio2 #viio7 VI6 V65/ii #viio65 i6', '#viio43 i6']	('n01op18-1_01', 166)	('n01op18-1_01', 176)
8	F	v	12	12	9	75.0	4	5	6 5 #7 1 #1 2 4 3 2 3 2 3	['6', '5 #7 1 #1', '2 4 3 2 3 2']	['#viio2', 'V2/ii #viio7 VI6 #viio/ii', 'V43 iio6 VIM43 #viio65 i6 #viio65']	['6', '2 4 3', '2 3']	['#viio2', 'V43 iio6 VIM43', '#viio65 i6']	['5 #7 1 #1', '3 2', '3 2']	['V2/ii #viio7 VI6 #viio/ii', 'VIM43 #viio65', 'i6 #viio65']	('n01op18-1_01', 178)	('n01op18-1_01', 190)
9	F	i	4	4	3	75.0	2	1	4 3 4 3	['4 3 4']	['#viio43 i6 #viio43']	['4', '3 4']	['#viio43', 'i6 #viio43']	['4 3']	['#viio43 i6']	('n01op18-1_01', 191)	('n01op18-1_01', 194)
10	F	iv	11	11	5	45.5	4	1	b4 3 b4 3 1 6 3 1 6 5 #4	['b4 3 b4', '1 6 5']	['viio43 i6 viio43', 'i VI i64']	['b4', '3 b4', '1 6 5']	['viio43', 'i6 viio43', 'i VI i64']	['b4 3']	['viio43 i6']	('n01op18-1_01', 195)	('n01op18-1_01', 205)
