key_regions	globalkey	localkey	length	length_norepeat	n_stepwise	%_stepwise	n_ascending	n_descending	bd	stepwise_bd	stepwise_chords	ascending_bd	ascending_chords	descending_bd	descending_chords	ixa	ixb
11	F	i	8	8	2	25.0	2	0	1 3 6 3 1 6 5 #4	['1 6 5']	['i VI i64']	['1 6 5']	['i VI i64']	[]	[]	('n01op18-1_01', 206)	('n01op18-1_01', 213)
12	F	I	21	14	3	21.4	0	3	5 7 2 5 1 5 1 6 7 1 6 4 5 3	['1 6 7', '6 4 5']	['I IV6 V65', 'vi ii6 V(64)']	[]	[]	['1 6 7', '6 4 5']	['I IV6 V65', 'vi ii6 V(64)']	('n01op18-1_01', 214)	('n01op18-1_01', 235)
13	F	bVI	20	17	4	23.5	0	4	6 4 2 5 1 6 4 5 6 4 2 3 6 4 2 3 1	['6 4 5 5', '4 2 3', '4 2']	['vi ii6 V(64) V', 'IV ii V(64)/vi', 'IV ii']	[]	[]	['6 4 5 5', '4 2 3', '4 2']	['vi ii6 V(64) V', 'IV ii V(64)/vi', 'IV ii']	('n01op18-1_01', 236)	('n01op18-1_01', 255)
14	F	bII	10	6	2	33.3	0	2	1 2 3 7 5 1	['1 1 2 3']	['I I V43 I6(6)']	[]	[]	['1 1 2 3']	['I I V43 I6(6)']	('n01op18-1_01', 256)	('n01op18-1_01', 265)
15	F	i	17	16	5	31.2	4	1	1 #7 1 7 6 5 1 5 1 5 1 5 1 5 1 5	['1 #7 1 7 6']	['iv64 V65 i v6 Ger6']	['1', '#7 1 7 6']	['iv64', 'V65 i v6 Ger6']	['1 #7']	['iv64 V65']	('n01op18-1_01', 266)	('n01op18-1_01', 282)
16	F	I	10	8	5	62.5	5	0	5 2 5 4 3 2 1 7	['2 5 4 3 2 1 7 7']	['ii V V2 I6 V64 I viio(64) viio']	['2 5 4 3 2 1 7 7']	['ii V V2 I6 V64 I viio(64) viio']	[]	[]	('n01op18-1_01', 283)	('n01op18-1_01', 294)
17	F	V	7	6	1	16.7	1	0	#1 5 4 2 5 1	['#1 5']	['V6/ii V2/ii']	['#1 5']	['V6/ii V2/ii']	[]	[]	('n01op18-1_01', 295)	('n01op18-1_01', 301)
18	F	I	101	85	44	51.8	13	31	2 5 7 1 2 3 4 7 1 #4 5 1 2 3 4 2 5 1 2 7 1 4 3 2 7 1 4 5 1 2 7 1 4 3 2 7 1 6 #4 4 3 2 5 1 3 4 3 5 1 4 b7 6 2 5 2 3 #4 5 6 7 6 #4 2 5 1 4 7 5 #5 6 7 #1 2 3 #4 5 1 b6 5 b6 5 4 1 b6 1	['5 7 1 2 3 4', '4 7', '1 #4 5', '5 1 1 2 3 3', '5 1', '2 7', '1 4 3', '2 7', '1 4 5', '5 1', '2 7', '1 4 3', '2 7', '6 #4 4 3', '1 3 4', '4 b7', '5 2 3 #4 5 6 7', '7 5 5 5 5 #5 6 7 #1 2 3 #4 5', '1 b6 5 b6 5']	['V V65 I viio6 I6 viio43(2)', 'viio43 viio7', 'i viio7/V V(b64)', 'V7 I I V43 #viio6/ii #viio65/ii', 'V7 I', 'V64 V65', 'I IV I6', 'viio6 viio', 'I IV V(64)', 'V7 I', 'viio6 viio', 'I IV I6', 'viio6 viio', 'VI viio7/V Ger6/vi V(64)/vi', 'I I6 V2', 'IV bVII', 'V V7/V iii V6/V V IV6 viio', 'V65 V7 I64 V7 V7 #viio7/vi vi #viio65/vi #viio7/ii ii viio7/IV viio7/V V(64)', 'I It6 I64 iv6 I64']	['1 4 3', '1 4 3', '6 #4 4 3', '3 4', '4 b7', '6 7', '1 b6', '5 b6 5']	['I IV I6', 'I IV I6', 'VI viio7/V Ger6/vi V(64)/vi', 'I6 V2', 'IV bVII', 'IV6 viio', 'I It6', 'I64 iv6 I64']	['5 7 1 2 3 4', '4 7', '1 #4 5', '5 1 1 2 3 3', '5 1', '2 7', '2 7', '1 4 5', '5 1', '2 7', '2 7', '1 3', '5 2 3 #4 5 6', '7 5 5 5 5 #5 6 7 #1 2 3 #4 5', 'b6 5']	['V V65 I viio6 I6 viio43(2)', 'viio43 viio7', 'i viio7/V V(b64)', 'V7 I I V43 #viio6/ii #viio65/ii', 'V7 I', 'V64 V65', 'viio6 viio', 'I IV V(64)', 'V7 I', 'viio6 viio', 'viio6 viio', 'I I6', 'V V7/V iii V6/V V IV6', 'V65 V7 I64 V7 V7 #viio7/vi vi #viio65/vi #viio7/ii ii viio7/IV viio7/V V(64)', 'It6 I64']	('n01op18-1_01', 303)	('n01op18-1_01', 404)
19	d	i	43	37	19	51.4	10	9	1 3 2 1 3 2 1 3 5 1 2 3 2 1 4 #4 5 #7 1 4 #4 5 1 4 #4 5 1 #7 6 5 1 3 2 1 3 5 1	['1 3 2', '1 3 2', '5 1 1 2 2 3 3 2', '1 4 4 #4', '5 #7', '1 4 #4 5', '1 4 #4', '5 1', '#7 6', '1 3 2']	['i i6 #viio6', 'i i6 V43', 'V i VI6 #viio65(2) #viio65 i6(2) i6 #viio6', 'i ii%65(2) ii%65 V65/V', 'V V65', 'i iio6 viio/V V', 'i iio6 viio/V', 'V VI6', 'V6 VI', 'i i6 V43']	['1 3 2', '1 3 2', '2 3 3 2', '5 1', '#7 6', '1 3 2']	['i i6 #viio6', 'i i6 V43', '#viio65 i6(2) i6 #viio6', 'V VI6', 'V6 VI', 'i i6 V43']	['5 1 1 2 2 3', '1 4 4 #4', '5 #7', '1 4 #4 5', '1 4 #4']	['V i VI6 #viio65(2) #viio65 i6(2)', 'i ii%65(2) ii%65 V65/V', 'V V65', 'i iio6 viio/V V', 'i iio6 viio/V']	('n01op18-1_02', 0)	('n01op18-1_02', 42)
20	d	III	77	65	28	43.1	16	12	b6 5 b2 1 4 #4 5 b6 5 4 3 7 5 1 5 1 4 3 7 1 5 1 4 3 7 1 4 2 3 6 2 5 b6 4 b6 5 1 4 b7 3 4 7 1 4 b6 5 1 4 1 4 5 1 5 4 3 2 1 6 #5 6 4 5 1 b7 6	['b6 5', '5 b2', '1 4 4 #4 5 b6 b6 5 4', '1 4', '3 7', '1 4', '3 7', '4 2', '2 5', '4 b6 5', 'b7 3 3', '4 7', '4 b6 5', '1 4', '1 5 5 5 4 3 2', '1 6 #5', '6 4 5 5', '5 1 1 b7']	['Ger6 V7(4)', 'V7 v%43', 'V7/IV V7(4)/bVII V7/bVII viio7/V V iv6 Ger6 V V2', 'I V2(9)', 'I6 V65', 'I V2(9)', 'I6 V65', 'IV ii', 'ii V7', 'bII6 Ger6 V7(4)', 'bVII viio7/IV V65/IV', 'iv V65', 'bII6 Ger6 V7(4)', 'I IV', 'I V7 V(64) V viio64 I6 viio6', 'I vi V65/vi', 'vi ii6 V(64) V7(6)', 'V7 I I V2/IV']	['b6 5', '5 b2', '5 b6 b6 5 4', '1 4', '1 4', '4 b6 5', '4 b6 5', '1 5 5 5 4 3 2', '1 6', '5 1 1 b7']	['Ger6 V7(4)', 'V7 v%43', 'V iv6 Ger6 V V2', 'I V2(9)', 'I V2(9)', 'bII6 Ger6 V7(4)', 'bII6 Ger6 V7(4)', 'I V7 V(64) V viio64 I6 viio6', 'I vi', 'V7 I I V2/IV']	['1 4 4 #4 5 b6', '3 7', '3 7', '4 2', '2 5', 'b7 3 3', '4 7', '1 4', '6 #5', '6 4 5 5']	['V7/IV V7(4)/bVII V7/bVII viio7/V V iv6', 'I6 V65', 'I6 V65', 'IV ii', 'ii V7', 'bVII viio7/IV V65/IV', 'iv V65', 'I IV', 'vi V65/vi', 'vi ii6 V(64) V7(6)']	('n01op18-1_02', 43)	('n01op18-1_02', 119)
21	d	iv	12	12	2	16.7	0	2	1 3 #7 1 3 5 2 4 5 #7 2 5	['3 #7', '2 4']	['i6 V6', 'V7/V V2']	[]	[]	['3 #7', '2 4']	['i6 V6', 'V7/V V2']	('n01op18-1_02', 120)	('n01op18-1_02', 131)
22	d	vii	10	9	1	11.1	1	0	4 6 2 #7 2 5 1 6 #4	['1 6']	['i VI']	['1 6']	['i VI']	[]	[]	('n01op18-1_02', 132)	('n01op18-1_02', 141)
23	d	iv	4	4	2	50.0	2	0	1 6 5 #4	['1 6 5']	['i VI III6']	['1 6 5']	['i VI III6']	[]	[]	('n01op18-1_02', 142)	('n01op18-1_02', 145)
24	d	i	33	29	14	48.3	4	10	1 4 5 1 3 2 1 3 2 1 3 5 1 2 3 4 #4 5 1 4 #4 5 1 4 #4 2 #6 #7 6	['1 4', '1 3 2', '1 3 2', '5 1 1 2 2 3 3 4 4 #4', '1 4 #4', '1 4', '2 #6']	['i ii%65', 'i i6 V43', 'i i6 V43', 'V i VI6 #viio65(2) #viio65 i6(2) i6 ii%65(2) ii%65 viio7/V', 'i iio6 viio7/V', 'i iio6', 'V64 IV6']	['1 3 2', '1 3 2']	['i i6 V43', 'i i6 V43']	['1 4', '5 1 1 2 2 3 3 4 4 #4', '1 4 #4', '1 4', '2 #6']	['i ii%65', 'V i VI6 #viio65(2) #viio65 i6(2) i6 ii%65(2) ii%65 viio7/V', 'i iio6 viio7/V', 'i iio6', 'V64 IV6']	('n01op18-1_02', 146)	('n01op18-1_02', 178)
25	d	I	55	48	22	45.8	11	11	5 7 1 4 3 4 3 7 1 4 3 4 3 7 1 6 2 3 6 2 5 6 4 b6 5 1 4 7 3 4 7 1 4 b6 5 1 5 1 5 4 3 2 1 6 #5 6 4 5	['5 7', '1 4 3 4', '3 7', '1 4 3 4 4', '3 7', '6 2', '2 5', '4 b6 5', '7 3', '4 7', '4 b6', '1 5 5 5 4 3 2', '1 6 #5', '6 4 5 5']	['V V65', 'I V2 I6 V2(9)', 'I6 V65', 'I V2 I6 V2(#2) V2', 'I6 V65', 'vi ii', 'ii V7', 'bII6 Ger6 V7(4)', 'VII #viio7/iv', 'iv V65', 'bII6 Ger6', 'I V7 V(64) V V2 I6 viio6', 'I vi V65/vi', 'vi ii6 V(64) V7(6)']	['1 4', '3 4', '1 4', '3 4 4', '4 b6 5', '4 b6', '1 5 5 5 4 3 2', '1 6']	['I V2', 'I6 V2(9)', 'I V2', 'I6 V2(#2) V2', 'bII6 Ger6 V7(4)', 'bII6 Ger6', 'I V7 V(64) V V2 I6 viio6', 'I vi']	['5 7', '4 3', '3 7', '4 3 4', '3 7', '6 2', '2 5', '7 3', '4 7', '6 #5', '6 4 5 5']	['V V65', 'V2 I6', 'I6 V65', 'V2 I6 V2(#2)', 'I6 V65', 'vi ii', 'ii V7', 'VII #viio7/iv', 'iv V65', 'vi V65/vi', 'vi ii6 V(64) V7(6)']	('n01op18-1_02', 179)	('n01op18-1_02', 234)
26	d	i	28	22	10	45.5	4	6	1 2 1 3 2 1 3 5 2 3 4 5 6 #4 5 1 5 1 5 1 5 1	['1 1 2', '1 3 2', '5 2 2 2 3 4 5 6 #4']	['i i #viio6', 'i i6 V43', 'V ii%7 #viio65 #viio6 i6(2) bII6 #viio65/iv iv6 viio7/V']	['1 2', '1 3 2', '5 6']	['i #viio6', 'i i6 V43', '#viio65/iv iv6']	['1 1', '5 2 2 2 3 4 5', '6 #4']	['i i', 'V ii%7 #viio65 #viio6 i6(2) bII6 #viio65/iv', 'iv6 viio7/V']	('n01op18-1_02', 235)	('n01op18-1_02', 262)
27	F	I	14	12	2	16.7	2	0	1 3 5 3 2 4 6 #4 3 5 7 3	['5 3', '6 #4']	['V V43/ii', 'V/ii V43/iii']	['5 3', '6 #4']	['V V43/ii', 'V/ii V43/iii']	[]	[]	('n01op18-1_03', 0)	('n01op18-1_03', 13)
28	F	V	4	4	0	0.0	0	0	5 1 5 1	[]	[]	[]	[]	[]	[]	('n01op18-1_03', 14)	('n01op18-1_03', 17)
29	F	bIII	14	10	2	20.0	2	0	1 3 2 5 1 6 1 7 3 6	['1 3 2', '6 1 7']	['I I6 V64', 'vi vi6 V64/vi']	['1 3 2', '6 1 7']	['I I6 V64', 'vi vi6 V64/vi']	[]	[]	('n01op18-1_03', 18)	('n01op18-1_03', 31)
30	F	bVI	8	6	1	16.7	1	0	1 5 3 2 6 #4	['5 3']	['V #viio6/ii']	['5 3']	['V #viio6/ii']	[]	[]	('n01op18-1_03', 32)	('n01op18-1_03', 39)
31	F	i	25	22	5	22.7	3	2	1 5 3 #7 1 6 #4 5 1 5 1 5 #7 2 5 2 5 2 6 5 4 2	['3 #7', '1 6 #4', '2 6 5 5']	['i6 #viio', 'i(4+2) VI viio7/V', 'V43 vi V7 V7']	['1 6', '2 6 5 5']	['i(4+2) VI', 'V43 vi V7 V7']	['3 #7', '6 #4']	['i6 #viio', 'VI viio7/V']	('n01op18-1_03', 40)	('n01op18-1_03', 64)
32	F	I	100	91	48	52.7	22	26	1 3 #4 5 3 2 #4 #5 6 #4 3 5 7 3 6 1 3 6 1 3 5 1 5 1 5 1 2 1 2 1 2 1 3 4 5 1 3 4 5 1 3 #4 5 3 2 4 7 6 #4 3 2 1 7 6 #5 6 5 4 3 2 #1 2 4 #4 5 7 1 2 3 4 5 7 1 2 3 4 2 5 1 7 5 1 7 5 1 7 5 1 7 5 1	['1 3 #4 5', '5 3', '2 #4 #5 6', '6 #4', '5 1 2 1 2 1 2', '1 3 4', '1 3 4', '1 3 #4 5', '5 3', '4 7 6', '6 #4 3 2 1 7 6 #5 6 5 4 3 2 #1', '2 4 #4', '5 7 1 2 3 4', '5 7 1 2 3', '5 1 1 1', '5 1 1 1', '5 1', '5 1']	['I I6 viio7/V V(4+2)', 'V V43/ii', 'V(4)/V V6/V #viio7/vi V(4+2)/ii', 'V/ii V43/iii', 'V7 I viio6 I viio6 I viio6', 'I #viio65/ii ii6', 'I #viio65/ii ii6', 'I I6 viio7/V V(4)', 'V V43/ii', 'ii6 V43/vi vi(4+2)', 'V/ii V43/iii iii V2/vi vi6 V43/vi vi V65/vi vi #viio43/ii ii6 #viio65/ii ii #viio7/ii', 'ii ii6 vii%7/V', 'V vii%7 I ii I6 viio64', 'V(+2) vii%7 I V43 I6', 'V7 I viio43/V V6(b64)', 'V I viio43/V V6(b64)', 'V I', 'V I']	['5 3', '6 #4', '1 2', '1 2', '1 2', '5 3', '4 7 6', '6 #4 3 2 1 7 6', '#5 6 5 4 3 2', '5 1 1 1', '5 1 1 1', '5 1', '5 1']	['V V43/ii', 'V/ii V43/iii', 'I viio6', 'I viio6', 'I viio6', 'V V43/ii', 'ii6 V43/vi vi(4+2)', 'V/ii V43/iii iii V2/vi vi6 V43/vi vi', 'V65/vi vi #viio43/ii ii6 #viio65/ii ii', 'V7 I viio43/V V6(b64)', 'V I viio43/V V6(b64)', 'V I', 'V I']	['1 3 #4 5', '2 #4 #5 6', '5 1', '2 1', '2 1', '1 3 4', '1 3 4', '1 3 #4 5', '6 #5', '2 #1', '2 4 #4', '5 7 1 2 3 4', '5 7 1 2 3']	['I I6 viio7/V V(4+2)', 'V(4)/V V6/V #viio7/vi V(4+2)/ii', 'V7 I', 'viio6 I', 'viio6 I', 'I #viio65/ii ii6', 'I #viio65/ii ii6', 'I I6 viio7/V V(4)', 'vi V65/vi', 'ii #viio7/ii', 'ii ii6 vii%7/V', 'V vii%7 I ii I6 viio64', 'V(+2) vii%7 I V43 I6']	('n01op18-1_03', 65)	('n01op18-1_03', 165)
33	F	i	1	1	0	0.0	0	0	5	[]	[]	[]	[]	[]	[]	('n01op18-1_03', 166)	('n01op18-1_03', 166)
34	F	bVI	6	5	0	0.0	0	0	1 5 1 5 1	[]	[]	[]	[]	[]	[]	('n01op18-1_03', 167)	('n01op18-1_03', 172)
35	F	i	30	14	5	35.7	3	2	6 5 #4 5 1 b4 b2 #7 1 5 3 #6 2 5	['6 5 #4 5', 'b4 b2 #7 1']	['VI i64 viio/V V(b64)', 'V/bVII viio65 V65 i(+2)']	['6 5', 'b4 b2']	['VI i64', 'V/bVII viio65']	['5 #4 5', 'b2 #7 1']	['i64 viio/V V(b64)', 'viio65 V65 i(+2)']	('n01op18-1_03', 173)	('n01op18-1_03', 202)
36	F	I	14	14	3	21.4	0	3	1 2 7 5 3 1 5 7 1 5 7 1 5 7	['1', '5 7', '5 7']	['I', 'V V65', 'V V65']	[]	[]	['1', '5 7', '5 7']	['I', 'V V65', 'V V65']	('n01op18-1_04', 0)	('n01op18-1_04', 13)
37	F	V	5	4	2	50.0	0	2	4 #4 5 1	['4 #4 5']	['IV V65/V V(64)']	[]	[]	['4 #4 5']	['IV V65/V V(64)']	('n01op18-1_04', 14)	('n01op18-1_04', 18)
38	F	I	44	40	12	30.0	2	10	1 2 7 5 3 1 5 7 1 5 7 1 5 7 1 #1 2 #5 6 #4 5 1 5 1 7 1 3 6 3 6 3 6 7 3 6 #4 #2 7 3 2	['1', '5 7', '5 7', '5 7 1 #1', '2 #5', '6 #4 5', '5 1 7 1', '3 6', '7 3']	['I', 'V V65', 'V V65', 'V V65 I #viio7/ii', 'ii #viio7/vi', 'vi V65/V V(64)', 'V7 I V6 I(4+2)', 'V/vi vi', 'V/iii iii']	['5 1', '7 3']	['V7 I', 'V/iii iii']	['1', '5 7', '5 7', '5 7 1 #1', '2 #5', '6 #4 5', '1 7 1', '3 6']	['I', 'V V65', 'V V65', 'V V65 I #viio7/ii', 'ii #viio7/vi', 'vi V65/V V(64)', 'I V6 I(4+2)', 'V/vi vi']	('n01op18-1_04', 19)	('n01op18-1_04', 62)
39	F	II	13	12	6	50.0	0	6	7 5 1 2 3 4 7 1 5 1 2 3	['5 1 1 2 3', '4 7', '5 1 2']	['V I I V43 I6', 'V2 V65', 'V I(6) V43']	[]	[]	['5 1 1 2 3', '4 7', '5 1 2']	['V I I V43 I6', 'V2 V65', 'V I(6) V43']	('n01op18-1_04', 63)	('n01op18-1_04', 75)
40	F	V	50	44	25	56.8	4	21	7 5 1 2 3 4 5 7 1 2 3 4 5 7 1 7 1 #5 6 3 4 5 1 7 1 #5 6 3 4 #1 2 5 1 2 4 3 1 2 4 3 1 4 5 1	['5 1 2 3 4', '5 7 1 1 2 3 4', '5 7 1 7', '1 #5', '6 3 4 4 5', '5 1 7', '1 #5', '6 3', '4 #1', '5 1', '2 4', '3 1', '2 4', '1 4 5']	['V7 I V43 I6 V2', 'V V6 I I(6) V43 I6 V2', 'V V6 I V65', 'I V65/vi', 'vi V65/IV IV IV V(64)', 'V7 I V65', 'I V65/vi', 'vi V65/IV', 'IV V65/ii', 'V7 I', 'V43 V2', 'I6 I', 'V43 V2', 'I IV V(64)']	['7 1', '5 1', '2 4', '2 4']	['V6 I', 'V7 I', 'V43 V2', 'V43 V2']	['5 1 2 3 4', '5 7 1 1 2 3 4', '5 7', '1 7', '1 #5', '6 3 4 4 5', '1 7', '1 #5', '6 3', '4 #1', '5 1', '3 1', '1 4 5']	['V7 I V43 I6 V2', 'V V6 I I(6) V43 I6 V2', 'V V6', 'I V65', 'I V65/vi', 'vi V65/IV IV IV V(64)', 'I V65', 'I V65/vi', 'vi V65/IV', 'IV V65/ii', 'V7 I', 'I6 I', 'I IV V(64)']	('n01op18-1_04', 76)	('n01op18-1_04', 125)
41	F	v	16	15	3	20.0	0	3	1 2 5 3 1 2 5 3 1 4 5 1 5 1 5	['1', '3 1', '1 4 5']	['i', 'i6 i', 'i iio6 V(64)']	[]	[]	['1', '3 1', '1 4 5']	['i', 'i6 i', 'i iio6 V(64)']	('n01op18-1_04', 126)	('n01op18-1_04', 141)
42	F	V	11	11	5	45.5	1	4	1 7 1 3 4 1 6 b7 5 6 4	['1 7', '1 3', '1 6', 'b7 5']	['I V65', 'I I6', 'I IV6', 'V2/IV V64/IV']	['1']	['I']	['1 7', '1 3', '1 6', 'b7 5']	['I V65', 'I I6', 'I IV6', 'V2/IV V64/IV']	('n01op18-1_04', 142)	('n01op18-1_04', 152)
43	F	I	16	16	3	18.8	0	3	2 5 1 2 7 5 3 1 5 7 1 5 7 1 5 7	['5 1', '5 7', '5 7']	['V7 I', 'V V65', 'V V65']	[]	[]	['5 1', '5 7', '5 7']	['V7 I', 'V V65', 'V V65']	('n01op18-1_04', 153)	('n01op18-1_04', 168)
44	F	V	5	4	2	50.0	0	2	4 #4 5 1	['4 #4 5']	['IV V65/V V(64)']	[]	[]	['4 #4 5']	['IV V65/V V(64)']	('n01op18-1_04', 169)	('n01op18-1_04', 173)
45	F	I	11	11	5	45.5	3	2	1 7 5 4 3 1 3 #1 2 #5 6	['1', '7 5 4', '3 #1', '2 #5']	['I', 'V6 V7 V2', '#viio65/ii V65/ii', 'ii V65/vi']	['1', '7 5 4']	['I', 'V6 V7 V2']	['3 #1', '2 #5']	['#viio65/ii V65/ii', 'ii V65/vi']	('n01op18-1_04', 174)	('n01op18-1_04', 184)
46	F	vi	20	14	11	78.6	7	4	3 6 5 6 5 4 3 2 1 #7 1 3 #3 4	['3 6 6 5 5 5 5 5 6 5 4 3 2 1 1 #7', '1 3 #3']	['i6 VI Ger6 V V(64) V7 V(64) V7 VIM7 V V2 i6 #viio6 i VI6 V65(2)', 'i i6 V65/iv']	['3 6 6 5 5 5 5', '5 6 5 4 3 2 1 1']	['i6 VI Ger6 V V(64) V7 V(64)', 'V7 VIM7 V V2 i6 #viio6 i VI6']	['6 5 5 5 5 5', '1 #7', '1 3 #3']	['Ger6 V V(64) V7 V(64) V7', 'VI6 V65(2)', 'i i6 V65/iv']	('n01op18-1_04', 185)	('n01op18-1_04', 204)
47	F	ii	6	6	2	33.3	2	0	1 6 5 3 1 7	['1 6', '3 1']	['i VI', 'i6 i']	['1 6', '3 1']	['i VI', 'i6 i']	[]	[]	('n01op18-1_04', 205)	('n01op18-1_04', 210)
48	F	v	10	8	5	62.5	4	1	3 1 7 6 5 4 5 1	['3 1 7 6 5 4 5']	['i6 i VII VI i64 iv V(+2)']	['3 1 7 6 5']	['i6 i VII VI i64']	['5 4 5']	['i64 iv V(+2)']	('n01op18-1_04', 211)	('n01op18-1_04', 220)
