corpus	piece	phrase_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209
ABC	n01op18-1_01	16	I	V7	V(64)	IV	I	viio	viio6	I6	IV	I	V65	V64																																																																																																																																																																																																						
ABC	n01op18-1_01	17	I	V7	ii	V(64)/vi	Ger6/vi	viio7/V	VI	i	viio	viio6	I6	IV	I	viio	viio6																																																																																																																																																																																																			
ABC	n01op18-1_01	18	I	V7	V(64)	viio7/V	viio7/IV	ii	#viio7/ii	#viio65/vi	vi	#viio7/vi	V7	V7	I64	V7	V65	V2	I	V7	V7/V	V65/V	V43/V	viio	IV6	V	V6/V	iii	V7/V	V	ii	V/ii	bVII	IV	I	I64	I64	V7	I64	I6	V2	I6																																																																																																																																																																										
ABC	n01op18-1_01	19	I	I	I	Fr6	I	iv	I64	iv6	I64	It6	I																																																																																																																																																																																																							
ABC	n01op18-1_02	23	I	V7	V7(4)	Ger6	bII6	bVI	V7	ii	vi	V/vi	ii	IV	I	V65	I6	V2(9)	I	V7	I	V65	I6	V2(9)	I	V7	I	V7	V65	I6	V2	V	Ger6	iv6																																																																																																																																																																																		
ABC	n01op18-1_02	24	I	V7	V7(4)	Ger6	bII6	i	V65	iv	V65/IV	viio7/IV	bVII	IV																																																																																																																																																																																																						
ABC	n01op18-1_02	25	I	I	V7	V7(6)	V(64)	ii6	vi	V65/vi	vi	I	viio6	I6	viio64	V	V(64)	V7	I	V7	IV	I	viio64	I																																																																																																																																																																																												
ABC	n01op18-1_02	30	I	V7	Ger6	bII6	i	V65	iv	#viio7/iv	VII	IV																																																																																																																																																																																																								
ABC	n01op18-1_03	36	I	V7	ii6	#viio65/ii																																																																																																																																																																																																														
ABC	n01op18-1_03	37	I	V7	ii	ii6	I6	V43	I	vii%7	@none	V(+2)	viio64	I6	ii	I	vii%7	V	vii%7/V	ii6	ii	#viio7/ii	ii	#viio65/ii	ii6	#viio43/ii	vi	V65/vi	vi	V43/vi	vi6	V2/vi	iii	V43/iii	V/ii	vi(4+2)	V43/vi	ii6	ii	V43/ii	V	V(4)	viio7/V	I6																																																																																																																																																																								
ABC	n01op18-1_03	38	I	I	V	V6	I	V	V6	I	V	V6	V6(b64)	viio43/V	I	V	V6	V6(b64)	viio43/V																																																																																																																																																																																																	
ABC	n01op18-1_04	42	I	V7	V(64)	V65/V	vi	#viio7/vi	ii	#viio7/ii	I	V65	V	I	V65	V	I	V65	V	I	I6	V	V65	V43	I																																																																																																																																																																																											
ABC	n01op18-1_04	43	I	I(4+2)	V6	I	V7	V	I																																																																																																																																																																																																											
ABC	n01op18-1_04	44	vi	V/vi	vi	V/vi	vi	V/vi																																																																																																																																																																																																												
ABC	n01op18-1_04	47	I	V7	V(64)	V7(+2)	ii	V65/ii	IV	V65/IV	vi	V65/vi	I	V65																																																																																																																																																																																																						
ABC	n01op18-1_04	48	i	V7	V(64)	IV	I	I6	V2	V43	I	I6	V2	V43																																																																																																																																																																																																						
ABC	n01op18-1_04	54	I	V7	V(64)	V65/V	vi	#viio7/vi	ii	#viio7/ii	I	V65	V	I	V65	V	I	V65	I	I6	V	V7	viio6	I																																																																																																																																																																																												
ABC	n01op18-1_04	55	I	I(4+2)	V6	I	V7	V2	I																																																																																																																																																																																																											
ABC	n01op18-1_04	57	I	V7	V(64)	V7(+2)	ii	V65/ii	IV	V65/IV	vi	V65/vi	I	V65	@none																																																																																																																																																																																																					
ABC	n01op18-1_04	58	i6	V7	V(64)	ii6	I	V7	I	V7	I																																																																																																																																																																																																									
ABC	n01op18-1_04	61	I	V7	IV	V7/IV	I6	V2	V43	V65	I	I6	V7	V2	V7	V43	I	V7	viio																																																																																																																																																																																																	
ABC	n01op18-1_04	62	I	V7	IV	V7/IV	I																																																																																																																																																																																																													
ABC	n01op18-1_04	63	I	V7	V(64)	viio/V	ii65	I6	V2	I	I6	V	V43	IV	V65/IV	IV	IV6	V2/IV	I	V65	I	V65	I	V65	I	V65																																																																																																																																																																																										
ABC	n01op18-1_04	64	I	V7	I	V7	I6	I	V7	I6	I	V7	I6	I	V7	I6	I	V7	I6	I	V7	I6																																																																																																																																																																																														
ABC	n02op18-2_01	65	V7	V7	I																																																																																																																																																																																																															
ABC	n02op18-2_01	66	I	V7	ii65	vi	I	I6	V7	ii65	vi	I																																																																																																																																																																																																								
ABC	n02op18-2_01	67	V	I	I6	V43	I																																																																																																																																																																																																													
ABC	n02op18-2_01	68	I	V7	ii65	vi	I	V65	V7	iv6	IV6	V	I	I6	V43	I																																																																																																																																																																																																				
ABC	n02op18-2_01	70	I	V7	V(64)	ii6	I6	V2	ii6	V2/ii	ii	V	V65/V	vi	#viio7/vi	I	viio7	I6	V2	I																																																																																																																																																																																																
ABC	n02op18-2_01	71	V	V/V	vi7	V6	I	V43	I6	V2	I																																																																																																																																																																																																									
ABC	n02op18-2_01	77	I	V65	I6	V2	I	V7	I6	V2	I	V65	I6	V2																																																																																																																																																																																																						
ABC	n02op18-2_01	78	I	V7	ii65	vi	I	I6	V7	ii65	I	V	V(64)	viio65/V	V65	I	V(64)	viio7/V	V7	V(64)	vii%7/V	vi	V6/vi	V(64)	vii%7/V	vi	V6/vi	I	V65	I6	V43	IV	I6	IV6	V2/IV	I	V65	V7	V6	ii	V6/ii	I6	V2																																																																																																																																																																									
ABC	n02op18-2_01	83	V	V	V7/V	V	ii7	V	viio43/V	vi6	viio	V6	viio6/V	I	viio	V6	V7/V	V43/V																																																																																																																																																																																																		
ABC	n02op18-2_01	84	I	V7	V(64)	ii6	I6	V2	ii6	V2/ii	ii	V	V65/V	vi	#viio7/vi	vi6	#viio65/vi	I6	V2	I																																																																																																																																																																																																
ABC	n02op18-2_01	85	V	V43/V	vi7	V6	I	V43	I6	V2	I																																																																																																																																																																																																									
ABC	n02op18-2_01	89	I	V7	ii6	vi	I	I6	V7	ii6	vi	I	V	V(64)	viio65/V	viio	I	I	V7	V(64)	vii%7/V	vi	V6(+6)	V(64)	vii%7/V	vi	V6(+6)/vi	I	V6	I6	V43	IV	V65/IV	IV6	V2/IV	I	V65	vi7	V7(9)	V	V6	ii	V6/ii	IV	III	I6	V2	I	V65	I6	V2	I	V65	I6	V2	I	V65	I6	V2	I																																																																																																																																																								
ABC	n02op18-2_01	90	V	V7	I6	viio65	V43	I	V65	#viio65/vi	V43/vi	vi	V65/vi	V43/IV	V65/IV	ii7	I6	V43	I																																																																																																																																																																																																	
ABC	n02op18-2_01	91	I	V7	ii6	vi	I	I6	V7	ii6	vi	I																																																																																																																																																																																																								
ABC	n02op18-2_02	92	V	V(64)	I	V43	V43(4)	I																																																																																																																																																																																																												
ABC	n02op18-2_02	93	I	I(4+2)	V7	V7(9)	ii	ii6	vi	#viio7/vi	V7																																																																																																																																																																																																									
ABC	n02op18-2_02	96	I	V7	V(64)	Ger6	ii43	IV6	I	V7	I	V65	I6	V2	V																																																																																																																																																																																																					
ABC	n02op18-2_02	97	I	I	V65	I6	V2																																																																																																																																																																																																													
ABC	n02op18-2_02	99	V	I	V65	I	viio64	I	viio	I	I	viio6	I6	viio43	ii6	#viio7/ii																																																																																																																																																																																																				
ABC	n02op18-2_02	100	I	V7	V65	V(64)	ii	ii6	I	V7	I	IV	V7/IV	I	I6	V2	V7	V65	V6	I6	V2	V(64)																																																																																																																																																																																														
ABC	n02op18-2_02	102	V	I																																																																																																																																																																																																																
ABC	n02op18-2_02	104	I	V7	V(64)	Ger6	ii43	IV6	V2/IV	I	V7	I	V65	I6	V2																																																																																																																																																																																																					
ABC	n02op18-2_02	105	I	I	iv6	I	iv	I	V65	I6	V2																																																																																																																																																																																																									
ABC	n02op18-2_03	106	I	V7	ii6	I	V65	V7	V	V6	I	V43	I																																																																																																																																																																																																							
ABC	n02op18-2_03	107	V	V(64)	ii	IV	V43/IV	V7/IV	ii	I6	ii6	V43/IV	V7(+9)/IV	V	V(4)	V/vi	I																																																																																																																																																																																																			
ABC	n02op18-2_03	109	I	V7	V(64)	ii6																																																																																																																																																																																																														
ABC	n02op18-2_03	110	I	V7	ii65	IV6	V(64)	V65/V	IV	I+6	I	V7(#5)	V65																																																																																																																																																																																																							
ABC	n02op18-2_03	111	I	V7	V(64)	ii65	vi	#viio7/vi	V(64)	V65/V	IV	I+6	I6	V43	I																																																																																																																																																																																																					
ABC	n02op18-2_03	112	I	I	V7	V	V(4)	I	I(4)	V7	V	V(4)																																																																																																																																																																																																								
ABC	n02op18-2_03	113	V	V7/V	V	It6	IV6	V2/IV	V65	I	V																																																																																																																																																																																																									
ABC	n02op18-2_03	114	V	I	V	I	V	I6	I	I6	V2	ii	iv6	V	V	I6	I	V7	V																																																																																																																																																																																																	
ABC	n02op18-2_03	115	I	V7	V(64)	V65/V	I	V7	V65/V	I	V7	I6	V2	I	V7	I	V65	IV	V7/IV	V	I	V7	V																																																																																																																																																																																													
ABC	n02op18-2_03	116	I	I																																																																																																																																																																																																																
ABC	n02op18-2_04	118	I	V	ii6	vi	I6	V7	V	V43	V43	I	V43	I6	V2	V7	IV	V7/IV	vi	V7/vi	vi	V7/vi	I6	I	V7																																																																																																																																																																																											
ABC	n02op18-2_04	119	I	V	ii6	vi	I	viio	IV6	V2/IV	I	V65																																																																																																																																																																																																								
ABC	n02op18-2_04	121	I	V7	vi	IV	IV6	I	V6	I	V6	I64	I6	I																																																																																																																																																																																																						
ABC	n02op18-2_04	123	I	V7	V(64)	V65/V	vi	#viio7/vi	V7	V7/V	V(64)/V	#viio65/ii																																																																																																																																																																																																								
ABC	n02op18-2_04	125	I	V	ii6	vi	I	V65	ii	V65/ii	I	V65	I																																																																																																																																																																																																							
ABC	n02op18-2_04	131	I	V	ii6	vi	I	V65	IV6	V2/IV	I	V65																																																																																																																																																																																																								
ABC	n02op18-2_04	135	I	V7	V(64)	V6/V	vi	#viio7/vi	I																																																																																																																																																																																																											
ABC	n02op18-2_04	136	I	V	IV	vi	I6	V	IV	vi	I6	V	IV	vi	I6	V	IV	vi	I6	V	ii6	vi	I6	V	ii6	vi	I6	V7	V	V65	V2	I	V65	V6	IV	V/IV	vi7	V/IV	IV	V7/IV	IV	V7/IV	I	I64	I6	I	I64	I	V7	I	V7	I6	V2	I6	V2	I	V65	V43	I6	V2	I																																																																																																																																																							
ABC	n02op18-2_04	137	I	I	I	V7																																																																																																																																																																																																														
ABC	n03op18-3_01	138	I	V7	ii6	I6	I	I(4)	V6	V6(2)	V7	V7	V6	V65	V6	V6(#7)	viio6/V	IV6	IV6(#7)	viio6/IV	ii6	#viio65/ii	I	I6(4)	V43	I	I(4)	V7	I	I(+7#2)	V7	V	V(64)	IV	I6	V43	I	I(4)	V7	I																																																																																																																																																																												
ABC	n03op18-3_01	139	I	I(4)	V	ii65	I	V65	I	V65	I	I(#2)	V65	IV6	V2/IV	I	I(#2)	V65	IV6	V2/IV	I																																																																																																																																																																																															
ABC	n03op18-3_01	141	I	V7	ii65	I	V7	V																																																																																																																																																																																																												
ABC	n03op18-3_01	143	I	V7	V(64)	viio7/V	ii6	#viio65/ii	#viio43/ii	ii6	I6																																																																																																																																																																																																									
ABC	n03op18-3_01	144	I	V7	V7(4)	viio6/V	viio6(7)/V	I6	IV	I64	IV6	V2/IV	I	V7	V(4)	viio6/V	viio6(7)/V	V6	I	V64	I6	V2/IV																																																																																																																																																																																														
ABC	n03op18-3_01	145	I	V7	I	V7	I	V																																																																																																																																																																																																												
ABC	n03op18-3_01	146	I	V7	I	V																																																																																																																																																																																																														
ABC	n03op18-3_01	147	I	V7	I	V7	V(64)	V7	I	V7																																																																																																																																																																																																										
ABC	n03op18-3_01	149	I	I(4)	V	ii65	IV	I	V65	I	V65																																																																																																																																																																																																									
ABC	n03op18-3_01	156	V	viio7/V	ii%65	I6	I6(42)	viio65	#viio7/ii	vi6	V65	v6	viio65/V	IV6	viio6/IV	IV	V65/IV	V2/IV																																																																																																																																																																																																		
ABC	n03op18-3_01	157	I	V7	ii6	vi	V7	V																																																																																																																																																																																																												
ABC	n03op18-3_01	159	I	V7	V(64)	viio7/V	ii6	#viio65/ii	viio6	I	V	V(42)	viio7/V	#viio6/ii	ii	I																																																																																																																																																																																																				
ABC	n03op18-3_01	160	I	V7	V	viio6	I6	IV	V43/IV	IV6	V7/IV	I	V7	V	viio6	I6	IV	I64	IV6	V7/IV																																																																																																																																																																																																
ABC	n03op18-3_01	162	I	V7	I	V7	V(64)	viio7/V	I	V	V6	I	I6	V2	V(64)	V7																																																																																																																																																																																																				
ABC	n03op18-3_02	163	I	V7	V7/V	I6	#iio7	I64	V7	#vio65	V7	I	V65	I																																																																																																																																																																																																						
ABC	n03op18-3_02	164	I	V7	V(64)	ii6	I	I(4+2)	V64	V64(64)	I6	I6(2)	V2	V2(4)	ii6	IV	V7/IV	V7	V	V7/V	I64	V7	#vio2	V7	V	I	V43																																																																																																																																																																																									
ABC	n03op18-3_02	165	V	viio/V	ii6	I	V6																																																																																																																																																																																																													
ABC	n03op18-3_02	167	V	V(64)	V	V(64)	V	V(64)	V	V(64)	V																																																																																																																																																																																																									
ABC	n03op18-3_02	169	I	V7	V(64)	ii6	I	IV	I	I6	viio6	#viio/ii	viio64	I	V65	I64																																																																																																																																																																																																				
ABC	n03op18-3_02	171	I	V7	V(64)	ii6	I	I(4+2)	V64	V64(64)	I6	I6(+2)	V2	V2(4)	ii6	IV	V7/IV	V7	V	V7/V	I64	V7	#vio2	V7	V	I	V43	I																																																																																																																																																																																								
ABC	n03op18-3_02	172	V	viio/V	ii6	I	V6																																																																																																																																																																																																													
ABC	n03op18-3_02	173	V	viio/V	ii6	I	V6	I																																																																																																																																																																																																												
ABC	n03op18-3_02	175	I	V7	V(64)	viio7/V	ii65	vi	#viio7/vi	V7	V(64)	ii65	vi	#viio7/vi	V7	vi	V6	I																																																																																																																																																																																																		
ABC	n03op18-3_02	176	I	V7	V7(4)	ii6	I64	#iio43	I64	I6	ii6	V2/ii	ii6	ii	I6	V2	I6																																																																																																																																																																																																			
ABC	n03op18-3_02	179	I	V7	V7/V	I6	#iio7	I64	V43	#io	V7	I	V65	I64	V7	V(64)	viio7/V	viio43	iv	iv(6)	iv	V6/iv	bIII	V65/bIII	V7/bIII	bVI	V7	I	V65	I6	V	I	V65	I	V65	V	V6	V2/V	V6	V2/V	V6	V2/V	V6	I	V6																																																																																																																																																																							
ABC	n03op18-3_02	180	I	V7	V(64)	ii6	ii6(7)	I6	viio6	ii(4)	IV	V7/IV	iiio	V2	V	V7/V	I64	#iio43	I64	I6	V2	#io2	V2	V43	I6	V2	I6																																																																																																																																																																																									
ABC	n03op18-3_02	181	I	V7	ii6	ii6(2)	I	viio7	IV6	iiio43/IV	IV6	IV	IV6	iiio65	IV64	I6	viio43	I6	I	I6	iv	I	V65	ii2	ii	IV	I																																																																																																																																																																																									
ABC	n03op18-3_02	182	V	viio2	IV6	V65	ii%2	ii	IV	I																																																																																																																																																																																																										
ABC	n03op18-3_02	183	I	V7	V65/V	V(4)	viio7/V	i	V65	iv64	iv64(6)	iv6	I64	iv6	I6																																																																																																																																																																																																					
ABC	n03op18-3_02	184	I	I	V7	IV	vi	#viio7/vi	V7	I	I6	viio	I6	V2	I	viio	I6	V2	I	viio	I																																																																																																																																																																																															
ABC	n03op18-3_03	185	V	V(64)	I6	V2	V2(4)	ii6	IV	I+	I	I																																																																																																																																																																																																								
ABC	n03op18-3_03	187	V	V(64)	I6	V2	V2(4)	ii6	IV	I+	I	V7	V7(+9)	V(6)	V7	vi	vi6	V2/vi	V(64)/vi	V7/vi																																																																																																																																																																																																
ABC	n03op18-3_03	189	I	V7	ii6	ii6(2)	I6	V2	V2(4)	ii																																																																																																																																																																																																										
ABC	n03op18-3_03	190	I	I(4+2)	V43	I6(+4)	IV	V(4)	vi7	I	V43	I6	V2	I64	IV6	I6	V2	V2	I6	V7	I64	V65/V	vi	#viio/vi	I64	V7	I64	V65/V	vi	#viio7/vi	ii6	I6	ii6	IV6	iii6	IV6	vi6	V6	I6	V64	viio7/V	ii6	viio65/ii	ii	V6/ii	V6(2)/ii	V7/IV	I	I	I(4)	V65	V6	I																																																																																																																																																															
ABC	n03op18-3_03	200	V	V(64)	I	V2	V2(4)	ii6	IV	I+	I																																																																																																																																																																																																									
ABC	n03op18-3_03	204	I	V7	ii6	ii6(2)	I6	V2	V2(4)	ii																																																																																																																																																																																																										
ABC	n03op18-3_03	205	I	I(4+2)	V43	I6(+4)	IV	V(+4)	vi7	I	V43	I6	V2	I6	V2	I6	V2	I64	V7	I64	V65/V	vi	#viio/vi	V7	I64	V65/V	vi	#viio/vi	ii6	I6	ii6	IV6	iii6	IV6	vi6	V6	I64	V	viio7/V	ii6	#viio65/ii	ii	V6/ii	V6(2)/ii	V7/IV	I	I	I(4)	V65	V6	I																																																																																																																																																																	
ABC	n03op18-3_04	206	I	I(+#74+2)	V7	ii	IV(#72)	I	vii%7	IV6	ii6	IV	vii%7/IV	bVII6	v	ii	#viio7/ii	V7(+9)	V	ii	I	V7	V	ii	I	I																																																																																																																																																																																										
ABC	n03op18-3_04	207	I	V7	ii	IV(#7)	I6	V2	V7(+9)	V2	V7(+9)	V2	V7(+9)	V2	V7(+9)	ii	IV6	vii%43/IV	#viio43/ii	ii6	#viio43/ii	iiio																																																																																																																																																																																														
ABC	n03op18-3_04	208	I	V	ii6	IV(4)	vi	I	V65	V2	I6																																																																																																																																																																																																									
ABC	n03op18-3_04	209	I	V7	ii6	IV(4)	vi	I	V65	V2	I6																																																																																																																																																																																																									
ABC	n03op18-3_04	211	V6	viio64/V	i6	viio64	i	viio7	i6	viio43	V6	viio64/V	i	viio	i64	viio2	i	viio7																																																																																																																																																																																																		
ABC	n03op18-3_04	212	V	Ger6	IV6	V2	i	V6	V6(#4)	I	V43	I	V7(+9)	@none																																																																																																																																																																																																						
ABC	n03op18-3_04	213	I	V7	V(6)	V(64)	ii6	IV	I	V65	viio6/V																																																																																																																																																																																																									
ABC	n03op18-3_04	215	I	V7	V(64)	viio7/V	bII	V2/bII	bIII	V/bIII																																																																																																																																																																																																										
ABC	n03op18-3_04	220	I	V7	ii	IVM7	viio6/ii	V2	V7(+9)	V2	V7(+9)	V2	V7(+9)	V2	V7(+9)	ii	IV6	vii%43/IV	v	V6/v	ii6	#viio43/ii	iiio																																																																																																																																																																																													
ABC	n03op18-3_04	221	I	V7	ii6	vi	I	V65	V2	I6																																																																																																																																																																																																										
ABC	n03op18-3_04	222	V	V7/V	ii6	IV	I6	I	ii6	IV	IV6	I	I6	ii65	IV																																																																																																																																																																																																					
ABC	n03op18-3_04	223	I	V7	V6	viio43/V	IV6	viio43/IV	III6	viio43/III	II6	viio43/II	viio43	#vo43	V6	V	viio/V	i6	viio64	i	viio7	I6	viio43	V6	#ivo64	I6	viio64	I6	viio6	I	vii%7	V																																																																																																																																																																																				
ABC	n03op18-3_04	224	V	Ger6	IV6	V2/IV	i	V6	V6(#4)	I6	I	V43	viio6	I																																																																																																																																																																																																						
ABC	n03op18-3_04	225	I	V7	V(64)	ii6	IV	I	V6	viio6/V																																																																																																																																																																																																										
ABC	n03op18-3_04	228	I	V7	I6	viio6	IV	III	iii	#iio7	ii	#io	I	V+6	V7	iv6	IV6	vi7	V	V(9)	ii6	ii6(2)	V7	viio2	ii64	V7/ii	#viio2/ii	iii64	iiio6	iiio6	iiio6(2)	#vo7	#vo7(#7)	#ivo6	#ivo6(2)	v6	v6(2)	vi6	vi6(2)	bVII6	bVII6(2)	I6	I6(2)	ii6	ii6(2)	iiio6	iiio6(2)	IV6	IV6(2)	v6	v6(2)	I6	V7	V7(2)	I	V7	V7(2)	I	V7	V7(2)	I64	V7	V7(2)	I	V7	V7(2)	I	V7	V7(2)																																																																																																																																															
ABC	n03op18-3_04	229	I	I	V7	I	V7	I	V7	V7(4)	IV	I	viio6	V7	V6	ii2	I(64)	I	V7	V6	ii2	I(64)	I	viio64	ii6(+42)	IM7	V7	ii7	IV7	vi	I	ii6	ii6(7)	I	V	V7/V	IV																																																																																																																																																																															
ABC	n04op18-4_01	232	IV	V65/IV	IV	V65/IV	IV	V65/IV	IV6	V2/IV	IV	V65/IV	I6	IV6	V2/IV	I																																																																																																																																																																																																				
ABC	n04op18-4_01	233	V	V(94)	ii6	ii	V65/ii	ii	V65/ii	ii6	V2/ii	ii	V65/ii	ii6	V7/ii																																																																																																																																																																																																					
ABC	n04op18-4_01	234	I	V7	I6	V2	V65	V43	V2	V6	viio43/V	V7(+b9)/V	V7/V	i6	IV	ii6	V7/vi	ii6	V7/vi	ii6	V7/vi	ii6	#viio43/ii	ii	V43/ii	ii6	ii65	I	V43	I6	V2	viio7/V	V(64)	V7	ii	#viio6/ii	ii6	IV+	IV	I	V43	I6	I	V65	V7	V43	V6	I	V43	I6	I	V65	V7	V43	V6	I	V43	I6	I	V7	I	viio6	viio64/V	V6	V(9)	V7/V	vi	#viio6/vi	#viio6(6)/vi	I	I(4)	V43	V64	I6	V2	V	V(64)	I	I(94)	V65	I	I(94)	V7	V(6)	I	V65	V64	V2	V	V7	V7(+9)	vi	V7/vi	V(+2)/vi	I	I(4)	V43	V64(+2)	I6	V2	V	I	I(4)	V65	I	I6	V2	V2(6)	I	V43																																																																																																						
ABC	n04op18-4_01	235	I	V7	V	@none	ii	I																																																																																																																																																																																																												
ABC	n04op18-4_01	239	i	V65	V64	V2	V	V7/V	vi	V43/vi	I	I(4)	viio6	I6	V2	V	V(64)	I	V65	I	I6	V2	V7	I																																																																																																																																																																																												
ABC	n04op18-4_01	245	I	V7	V	bVI	ii	I																																																																																																																																																																																																												
ABC	n04op18-4_02	251	V	V(64)	I	viio6	V64	V6	I	IV(4)	I6	V2	V	II	VI	I																																																																																																																																																																																																				
ABC	n04op18-4_02	252	I	V7	V(64)	ii	IV	V+65/IV	IV6	V2/IV	V65	I6	vi	I	I6	V	V(64)	ii	ii6	I	V6	vi7	V	viio6/V	vi6	ii	#viio6/ii	IV	vi	I	V7	V	ii	VI	@none																																																																																																																																																																																	
ABC	n04op18-4_02	253	I	V7	V(64)	V7	I	V7	V	I	V6																																																																																																																																																																																																									
ABC	n04op18-4_02	254	I	V7	I	V7	I	V7	I	V7	I	V7	I	V6																																																																																																																																																																																																						
ABC	n04op18-4_02	257	V7	V7	V(64)	V7	V(64)	V7	V(64)	V7	V(64)	V7	viio6	viio6(2)	IV	vi	I																																																																																																																																																																																																			
ABC	n04op18-4_02	258	V	V(64)	I	V43	I6	IV	IV(4)	I6	V2	V	V6/V	VI	I																																																																																																																																																																																																					
ABC	n04op18-4_02	259	I	V7	V	V7/V	VI	V/VI																																																																																																																																																																																																												
ABC	n04op18-4_02	260	V	V(64)	ii	ii6	I	V6	vi7	V	viio6/V	viio	vi6	ii	#viio6/ii	IV																																																																																																																																																																																																				
ABC	n04op18-4_02	261	I	V7	V(64)	ii6	IV	V+65	IV6	V2/IV	V65	vi	I	I6																																																																																																																																																																																																						
ABC	n04op18-4_02	262	I	V7	ii65	vi	V7	ii6	ii6(#7b62)	#viio65/ii	#viio/ii	V6	viio43/V	i	V	viio64/V	I	V	#iv	IV	V7/IV	vi	V43/vi	V6/vi	I	V43	V	V6	I	V7	V(64)	V7	I	V7	V	I	V																																																																																																																																																																															
ABC	n04op18-4_02	263	I	V7	ii6	vi	V6																																																																																																																																																																																																													
ABC	n04op18-4_02	264	I	I	V7	V(64)	V7	V(64)	V7	I	V7	I6	I	V7	I6	I	V7	I6	I	V7	I6	I	V7	V43	I	V7	V43																																																																																																																																																																																									
ABC	n04op18-4_04	276	I	I(974)	V7	V(64)	ii6	ii6(94)	I6	viio43	ii6	#viio43/ii	V7	V(4)	viio6/V	I6	V43	I																																																																																																																																																																																																		
ABC	n04op18-4_04	291	I	V7	V7(4)	ii6	ii6(2)	I	V	ii	V7/ii	V	V7/V	V6	I	V7	I																																																																																																																																																																																																			
ABC	n04op18-4_04	292	I	V7	V(64)	ii6	I	V7	ii	V7/ii	v6																																																																																																																																																																																																									
ABC	n05op18-5_01	303	I	V	IV	I6	V7	I6	viio6	V2	IV	viio6/IV	I6	V2	IV	I	I																																																																																																																																																																																																			
ABC	n05op18-5_01	304	V	V	V7/V	vi	I	V6	I	I6	V43	V	V7/V	I	I6	V2	V	iv6	IV6	V2/IV	I6	V7																																																																																																																																																																																														
ABC	n05op18-5_01	308	I	V7	ii6	I	V65	ii%2	ii	V6/ii	ii6	IV	IV6	V43/IV	IV	I6	V43	I																																																																																																																																																																																																		
ABC	n05op18-5_01	309	I	V7	V(64)	IV6	IV	I	I6(7)	V7	iii	iii6	#viio6/iii	V/iii	ii	ii6	V2/ii	V																																																																																																																																																																																																		
